"nome_arquivo","titulo","subtitulo","fonte"
"indicador_3","Indicador 3. Proporção de óbitos com causa definida, segundo local de residência. Bahia, 2010-2020*","Meta Estadual: 90%","SIM, DIVEP/SUVISA/SESAB, 2021."
"Indicador_4","Indicador 4. Proporção de vacinas selecionadas do Calendário Básico de Vacinação para criança menores de dois anos de idade - Pentavalente 3ª dose, Pneumocócica 10-valente 2ª dose, Poliomielite 3ª dose e Tríplice viral 1ª dose - com cobertura vacinal preconizada. Bahia - 2016 a 2020*","Meta Estadual: 75% correspondendo a cobertura ≥ 95% para, no mínimo, três dos quatro imunobilógicos selecionados.",""
"indicador_5","Indicador 05. Proporção de casos de doenças de notificação compulsória imediata (DNCI) encerrados em até 60 dias após notificação*.","Meta Estadual: 75%","SINAN, DIVEP/SUVISA/SESAB, 2021."
"indicador_6","Indicador 06. Proporção de Cura de casos novos de hanseníase diagnosticados nos anos das coortes - Município de Residência. Bahia","Meta Estadual: ≥ 88%","SINAN, DIVEP/SUVISA/SESAB, 2021."
"indicador_8","Indicador 8. Nº de Casos novos de sífilis congênita em menores de um ano, segundo local de residência, Bahia. Período: 2010 - 2020*","Meta Estadual: Reduzir em 20%","SINAN, DIVEP/SUVISA/SESAB, 2021."
"indicador_9","Indicador 9. Casos novos de aids em menores de 5 anos, segundo local de residência. Bahia. Período: 2010 - 2020*","Meta Estadual: Reduzir em 20%","SINAN, DIVEP/SUVISA/SESAB, 2021."
"Indicador_10","Indicador 10. Proporção de análises realizadas em amostras de água para consumo humano quanto aos parâmetros coliformes totais, cloro residual livre e turbidez, segundo local de residência. Estado da Bahia, 2019.","Meta Estadual: 100% amostragem e Proposto Escalonamento","SESAB/SUVISA/DIVISA - SISAGUA"
"Indicador_11","Indicador 11. Razão de Exames Citopatólogicos do colo do útero em mulheres de 25 a 64 anos, segundo local de residência. Bahia, 2010 - 2019*","Proposto Escalonamento","Sesab/Suvisa/Divep/COASS-SIASUS"
"Indicador_12","Indicador 12. Exames mamográficos de rastreamento, realizados em mulheres de 50 a 69 anos (nº e razão), segundo local de residência. Estado da Bahia, 2010 - 2019*","Proposto Escalonamento","Sesab/Suvisa/Divep/COASS- SIASUS"
"Indicador_13","Indicador 13. Proporção de parto normal no SUS e na saúde suplementar, segundo local de residência. Estado da Bahia, 2010-2019*","Meta Estadual: 60% e Proposto Escalonamento","Sesab/Suvisa/Divep/COASS-Sinasc"
"Indicador_14","Indicador 14. Proporção de gravidez na adolescência (10 a 19 anos), segundo local de residência. Estado da Bahia, 2010-2019*","Meta Estadual: 16,5% e Proposto Escalonamento","Sesab/Suvisa/DIVEP/COASS- Sinasc"
"Indicador_15","Indicador 15. Óbitos (Número e Taxa) infantil por 1.000 nascidos vivos, segundo local de residência. Estado da Bahia, 2010 - 2019*","Meta Estadual: 15,1%","Sesab/Suvisa/Divep/COASS-SIM e Sinasc"
"Indicador_16","Indicador 16. Óbito Materno (Número e Razão), segundo local de residência. Estado da Bahia, 2010-2020*","Meta Estadual: 100 para o ano de 2021 e Proposto Escalonamento","Sesab/Suvisa/Divep/COASS-IBGE, SIM e Sinasc"
"Indicador_17_","Indicador 17. Cobertura populacional estimada pelas equipes de Atenção Básica Período: 2015 a 2020","Proposto Escalonamento","Ministério da Saúde/DAB. Disponível em: https://egestorab.saude.gov.br/paginas/acessoPublico/relatorios/relHistoricoCoberturaAB.xhtml"
"Indicador_18","Indicador 18. Cobertura de acompanhamento das condicionalidades de Saúde do Programa Bolsa Família (PBF) - Série histórica percentual de cobertura com base nas famílias totalmente acompanhadas, Bahia - 1ª e 2ª vigências de 2015 a 2020","Meta Estadual: 82,38% e Proposto Escalonamento","MS/SAS/DAB - Coordenação-Geral de Alimentação e Nutrição"
"Indicador_19","Indicador 19. Cobertura populacional estimada de saúde bucal na atenção básica. Período: 2015 a novembro de 2020","Proposto Escalonamento","Ministério da Saúde/DAB. Disponível em: https://egestorab.saude.gov.br/paginas/acessoPublico/relatorios/relHistoricoCoberturaSB.xhtml"
"indicador_23","Indicador 23. Percentual de Preenchimento da variável ocupação, das notificações de acidente trabalho, acidente de trabalho com exposição a Material Biológico e Intoxicação Exógena Ocupacional, segundo município de RESIDÊNCIA. Estado da Bahia, 2010 - 2020*","Meta Estadual: 95%","Sesab/Suvisa/DIVAST - Sinan"
