Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,"Cumprimento da Diretriz do Plano de Amostragem da Vigilância
da Qualidade da Água de Consumo Humano - Parâmetros Básicos 2015.",Unnamed: 5,Unnamed: 6,Resultado indicador em  2019*,"Cumprimento da Diretriz do Plano de Amostragem da Vigilância
da Qualidade da Água de Consumo Humano - Parâmetros Básicos 2015..1",Unnamed: 9,Unnamed: 10,Resultado indicador em  2020**
Centro Leste,Seabra,290010,Abaíra,,,,0,,,,0
Norte,Paulo Afonso,290020,Abaré,"65,15%","65,15%","59,09%",62.8775,"118,18%","116,67%","116,67%",117.141875
Nordeste,Alagoinhas,290030,Acajutiba,,"65,00%","65,00%",44.6875,,"75,00%","74,17%",51.25125
Nordeste,Ribeira do Pombal,290035,Adustina,,"90,83%","91,67%",62.76062499999999,,"100,00%","99,17%",68.43875
Centro Leste,Serrinha,290040,Água Fria,"119,17%","119,17%","119,17%",119.17,"80,00%","80,00%","80,00%",80
Sul,Jequié,290060,Aiquara,"95,83%","95,83%","95,83%",95.83,"66,67%","66,67%","65,28%",66.14875
Nordeste,Alagoinhas,290070,Alagoinhas,"84,67%","97,67%","97,67%",93.60749999999999,"88,33%","88,67%","89,00%",88.6875
Extremo Sul,Teixeira de Freitas,290080,Alcobaça,,"55,30%","55,30%",38.018750000000004,"35,61%","44,70%","44,70%",41.859375
Sul,Itabuna,290090,Almadina,"3,70%","42,59%","53,70%",34.603125,"58,33%","78,70%","87,96%",75.806875
Leste,Santo Antônio de Jesus,290100,Amargosa,"100,00%","100,00%","100,00%",100,"68,59%","68,59%","68,59%",68.59
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,,,,0,,,,0
Centro Norte,Irecê,290115,América Dourada,,,,0,,,,0
Sudoeste,Vitória da Conquista,290120,Anagé,"114,17%","132,50%","129,17%",125.52312500000001,"72,50%","71,67%","70,00%",71.303125
Centro Leste,Itaberaba,290130,Andaraí,"5,83%","14,17%","14,17%",11.563749999999999,"17,50%","35,83%","35,83%",30.101875
Norte,Senhor do Bonfim,290135,Andorinha,,,,0,,,,0
Oeste,Barreiras,290140,Angical,,"1,67%","1,67%",1.1481249999999998,,,,0
Centro Leste,Feira de Santana,290150,Anguera,"83,33%","75,00%","83,33%",80.72687499999999,"93,52%","93,52%","93,52%",93.52
Nordeste,Ribeira do Pombal,290160,Antas,"56,06%","74,24%","74,24%",68.55875,"42,42%","54,55%","55,30%",51.040625
Centro Leste,Feira de Santana,290170,Antônio Cardoso,"64,17%","65,83%","65,83%",65.31125,"100,00%","100,00%","98,33%",99.37375
Norte,Senhor do Bonfim,290180,Antônio Gonçalves,"12,50%",,"86,67%",36.4075,,,,0
Nordeste,Alagoinhas,290190,Aporá,,"32,50%","33,33%",22.655,,"40,00%","39,17%",27.18875
Sul,Jequié,290195,Apuarema,"6,48%","12,96%","12,96%",10.935,"25,93%","40,74%","39,81%",35.763125
Nordeste,Alagoinhas,290205,Araçás,"102,50%","98,33%","98,33%",99.63312499999999,"100,00%","104,17%","104,17%",102.866875
Sudoeste,Brumado,290200,Aracatu,"65,00%","65,00%","63,33%",64.37375,"6,67%","6,67%","6,67%",6.67
Centro Leste,Serrinha,290210,Araci,"109,44%","113,33%","112,22%",111.698125,"102,22%","102,22%","100,00%",101.3875
Nordeste,Alagoinhas,290220,Aramari,"45,00%","56,67%","54,17%",52.08562499999999,"47,50%","55,00%","55,00%",52.65625
Sul,Ilhéus,290225,Arataca,"46,30%","45,37%","46,30%",46.009375000000006,"70,37%","51,85%","70,37%",64.5825
Leste,Santo Antônio de Jesus,290230,Aratuípe,"74,07%","91,67%","89,81%",85.47250000000001,"38,89%","59,26%","59,26%",52.894375
Sul,Itabuna,290240,Aurelino Leal,,,,0,,"33,33%","31,67%",22.291875
Oeste,Barreiras,290250,Baianópolis,,,,0,,,,0
Centro Leste,Feira de Santana,290260,Baixa Grande,,,,0,,,,0
Nordeste,Ribeira do Pombal,290265,Banzaê,"58,33%","59,17%","59,17%",58.9075,"74,17%","73,33%","74,17%",73.9075
Oeste,Ibotirama,290270,Barra,"16,67%","16,67%","15,56%",16.253749999999997,,,,0
Sudoeste,Brumado,290280,Barra da Estiva,,"59,85%","59,85%",41.146875,,"34,85%","35,61%",24.244375
Sudoeste,Vitória da Conquista,290290,Barra do Choça,"104,86%","104,86%","104,17%",104.60125000000001,"87,50%","88,19%","86,11%",87.194375
Centro Norte,Irecê,290300,Barra do Mendes,,,,0,,,,0
Sul,Jequié,290310,Barra do Rocha,,"86,11%","86,11%",59.200624999999995,"12,96%","78,70%","77,78%",57.81125
Oeste,Barreiras,290320,Barreiras,"122,00%","115,00%","115,67%",117.43875,"60,90%","37,50%","37,50%",44.8125
Centro Norte,Irecê,290323,Barro Alto,,,,0,,,,0
Sul,Itabuna,290330,Barro Preto,,"45,37%","72,22%",41.260625,,"33,33%","33,33%",22.914375
Centro Leste,Serrinha,290327,Barrocas,"110,00%","110,83%","118,33%",113.38312499999998,"101,67%","101,67%","101,67%",101.67
Extremo Sul,Porto Seguro,290340,Belmonte,"8,33%","98,48%","98,48%",70.308125,"92,42%","102,27%","100,76%",98.625625
Sudoeste,Vitória da Conquista,290350,Belo Campo,"75,00%","98,33%","97,50%",90.72812499999999,"71,67%","76,67%","76,67%",75.1075
Centro Leste,Serrinha,290360,Biritinga,"95,00%","110,00%","120,00%",109.0625,"101,67%","103,33%","102,50%",102.5
Sul,Jequié,290370,Boa Nova,"105,83%","110,00%","110,00%",108.69687499999998,"99,17%","105,00%","104,17%",102.866875
Centro Leste,Itaberaba,290380,Boa Vista do Tupim,,,,0,,,,0
Oeste,Santa Maria da Vitória,290390,Bom Jesus da Lapa,"34,31%","71,57%","70,59%",59.558749999999996,"17,16%","17,16%","17,16%",17.16
Sudoeste,Vitória da Conquista,290395,Bom Jesus da Serra,"100,00%","99,07%","101,85%",100.40312499999999,"95,37%","95,37%","95,37%",95.37
Centro Leste,Seabra,290400,Boninal,,"58,33%","58,33%",40.101875,,,,0
Centro Leste,Itaberaba,290405,Bonito,,,,0,,,,0
Sudoeste,Brumado,290410,Boquira,,"21,97%","21,97%",15.104374999999997,"4,55%","6,82%","6,82%",6.110625
Sudoeste,Brumado,290420,Botuporâ,"18,52%","18,52%","18,52%",18.52,,,,0
Sul,Jequié,290430,Brejões,"45,83%","66,67%","66,67%",60.1575,"48,33%","74,17%","73,33%",65.78
Oeste,Barreiras,290440,Brejolândia,,"5,56%","5,56%",3.8224999999999993,,"37,96%","37,96%",26.0975
Oeste,Ibotirama,290450,Brotas de Macaúbas,,"0,93%","0,93%",0.6393749999999999,,,,0
Sudoeste,Brumado,290460,Brumado,"84,31%","98,53%","95,10%",92.8,"53,43%","58,33%","57,84%",56.615
Sul,Itabuna,290470,Buerarema,,"75,83%","98,33%",60.57062499999999,,"70,83%","85,83%",54.320625
Oeste,Ibotirama,290475,Buritirama,"91,67%","79,55%","76,52%",82.20125,"6,06%","15,15%","15,15%",12.309375
Sudoeste,Itapetinga,290480,Caatiba,"112,04%","128,70%","125,00%",122.10624999999999,"47,22%","47,22%","47,22%",47.22
Leste,Cruz das Almas,290485,Cabaceiras do Paraguaçu,"100,83%","105,83%","105,00%",103.95625,"46,97%","46,97%","46,21%",46.685
Leste,Cruz das Almas,290490,Cachoeira,"23,08%","38,46%","38,46%",33.653749999999995,"53,47%","53,47%","52,78%",53.21125
Sudoeste,Guanambi,290500,Caculé,"77,27%","80,30%","80,30%",79.35312499999999,"72,73%","64,39%","72,73%",70.12375
Centro Norte,Jacobina,290510,Caém,"103,70%","104,63%","104,63%",104.33937499999999,"90,74%","91,67%","90,74%",91.030625
Sudoeste,Vitória da Conquista,290515,Caetanos,"77,50%","95,83%","95,83%",90.10187499999999,"81,67%","82,50%","82,50%",82.240625
Sudoeste,Guanambi,290520,Caetité,"38,89%","73,89%","73,89%",62.9525,"79,44%","98,33%","98,33%",92.426875
Centro Norte,Irecê,290530,Cafarnaum,,,,0,,,,0
Sul,Valença,290540,Cairu,"24,17%","47,50%","46,67%",39.89812499999999,"56,67%","55,83%","54,17%",55.47
Centro Norte,Jacobina,290550,Caldeirão Grande,"33,33%","75,00%","83,33%",65.10187499999999,"91,67%","91,67%","90,83%",91.355
Sul,Itabuna,290560,Camacan,"58,33%","70,83%","95,83%",76.29875,"65,97%","65,28%","81,25%",71.484375
Leste,Camaçari,290570,Camaçari,"82,62%","97,62%","97,86%",93.02250000000001,"106,19%","102,62%","103,57%",104.091875
Sul,Valença,290580,Camamu,"57,69%","66,03%","65,38%",63.17999999999999,"49,36%","66,03%","66,03%",60.820625
Norte,Juazeiro,290590,Campo Alegre de Lourdes,,,,0,,,,0
Norte,Senhor do Bonfim,290600,Campo Formoso,"38,24%","9,80%","52,45%",34.68125,"3,43%","6,86%","7,35%",5.971875
Oeste,Santa Maria da Vitória,290610,Canápolis,,"82,41%","68,52%",51.44812499999999,,"16,67%","16,67%",11.460625
Centro Norte,Irecê,290620,Canarana,,,,0,,,,0
Sul,Ilhéus,290630,Canavieiras,"74,31%","72,92%","97,92%",82.72937499999999,"77,78%","72,92%","89,58%",80.68625
Centro Leste,Feira de Santana,290640,Candeal,"47,22%","79,63%","79,63%",69.50187499999998,"53,70%","51,85%","51,85%",52.428125
Leste,Salvador,290650,Candeias,"81,14%","92,11%","90,79%",88.186875,"70,61%","69,30%","71,05%",70.365625
Sudoeste,Guanambi,290660,Candiba,"33,33%","33,33%","33,33%",33.33,"25,00%","25,00%","25,00%",25
Sudoeste,Vitória da Conquista,290670,Cândido Sales,"104,55%","104,55%","104,55%",104.54999999999998,"54,55%","54,55%","54,55%",54.55
Centro Leste,Serrinha,290680,Cansanção,"120,51%","123,08%","123,08%",122.27687499999999,"123,08%","123,08%","123,08%",123.08
Norte,Juazeiro,290682,Canudos,"30,00%","100,00%","100,00%",78.125,"81,67%","82,50%","81,67%",81.929375
Centro Leste,Feira de Santana,290685,Capela do Alto Alegre,,"94,17%","94,17%",64.74187500000001,,"53,33%","53,33%",36.664375
