Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Média 2010/2019,2020*
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,55.124653739612185,50.160771704180064,52.15827338129496,56.44599303135889,60.0,60.74074074074074,58.333333333333336,56.75675675675676,52.68817204301075,51.26903553299492,55.367773026328265,49.673202614379086
Centro Leste,Feira de Santana,290150,Anguera,37.391304347826086,45.614035087719294,47.524752475247524,50.56179775280899,54.347826086956516,66.3157894736842,57.49999999999999,60.97560975609756,56.9620253164557,63.63636363636363,54.082950393315954,51.06382978723404
Centro Leste,Feira de Santana,290170,Antônio Cardoso,58.91891891891892,60.17316017316018,62.5,62.34567901234568,59.04255319148937,65.71428571428571,62.5,59.12408759124088,63.934426229508205,65.65656565656566,61.990967648751464,60.0
Centro Leste,Feira de Santana,290260,Baixa Grande,69.09871244635193,71.63636363636363,68.26086956521739,68.20083682008368,67.55555555555556,72.46376811594203,66.51583710407239,60.53811659192825,64.57399103139014,63.10679611650486,67.19508469834098,63.934426229508205
Centro Leste,Feira de Santana,290640,Candeal,48.91304347826087,45.52845528455284,45.38461538461539,53.09734513274337,57.14285714285714,56.043956043956044,57.73195876288659,53.63636363636364,45.97701149425287,59.09090909090909,52.25465154513978,50.0
Centro Leste,Feira de Santana,290685,Capela do Alto Alegre,52.38095238095239,55.65217391304348,58.58585858585859,52.12765957446809,45.91836734693878,55.10204081632652,59.375,55.140186915887845,38.93805309734513,44.44444444444444,51.766473707526515,46.875
Centro Leste,Feira de Santana,290850,Conceição do Jacuípe,55.06172839506173,47.356321839080465,48.1651376146789,55.31400966183575,54.761904761904766,57.3170731707317,58.37837837837838,58.67768595041323,52.089136490250695,51.7799352750809,53.89013115374165,53.333333333333336
Centro Leste,Feira de Santana,290890,Coração de Maria,60.33057851239669,56.03715170278638,60.12084592145015,56.53710247349824,54.25531914893617,57.49999999999999,60.91954022988506,53.73134328358209,55.13307984790875,54.23728813559322,56.88022492560367,49.504950495049506
Centro Leste,Feira de Santana,291080,Feira de Santana,41.240721102863205,40.154236213817875,39.320439100888656,41.71693235674278,42.559124238355885,47.05144291091594,45.178955603363974,44.75422576258015,42.42365487154629,41.54190854465832,42.59416407057331,40.68228724050018
Centro Leste,Feira de Santana,291125,Gavião,51.28205128205128,60.0,67.85714285714286,53.06122448979592,48.888888888888886,51.11111111111111,51.11111111111111,44.0,46.51162790697674,50.0,52.38231576470779,42.22222222222222
