Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Média 2010/2019
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,19.3905817174515,18.9710610932476,20.1438848920863,19.5121951219512,20.7017543859649,18.1481481481482,20.6140350877193,20.7207207207207,17.2043010752688,18.2741116751269,19.36807939176854
Centro Leste,Feira de Santana,290150,Anguera,15.6521739130435,20.1754385964912,20.7920792079208,20.2247191011236,18.4782608695652,21.0526315789474,25.0,21.9512195121951,13.9240506329114,6.81818181818182,18.406875523038003
Centro Leste,Feira de Santana,290170,Antônio Cardoso,22.7027027027027,22.9437229437229,21.0227272727273,22.2222222222222,19.6808510638298,22.1428571428571,14.7058823529412,13.1386861313869,15.5737704918033,17.1717171717172,19.130513949591055
Centro Leste,Feira de Santana,290260,Baixa Grande,24.0343347639485,25.8181818181818,23.4782608695652,23.4309623430962,20.0,22.7053140096618,21.7194570135747,21.9730941704036,20.627802690583,17.4757281553398,22.126313583435458
Centro Leste,Feira de Santana,290640,Candeal,15.2173913043478,15.4471544715447,21.5384615384615,21.2389380530973,20.8791208791209,19.7802197802198,14.4329896907216,20.9090909090909,19.5402298850575,15.1515151515152,18.413511166317722
Centro Leste,Feira de Santana,290685,Capela do Alto Alegre,23.8095238095238,18.2608695652174,23.2323232323232,25.531914893617,15.3061224489796,18.3673469387755,19.7916666666667,12.1495327102804,16.8141592920354,16.1616161616162,18.942507571903516
Centro Leste,Feira de Santana,290850,Conceição do Jacuípe,18.5185185185185,21.8390804597701,24.3119266055046,19.5652173913043,21.1904761904762,18.0487804878049,19.4594594594595,20.9366391184573,20.0557103064067,13.5922330097087,19.75180415474108
Centro Leste,Feira de Santana,290890,Coração de Maria,16.2534435261708,14.5510835913313,21.7522658610272,18.0212014134276,23.0496453900709,17.8571428571429,17.2413793103448,21.6417910447761,15.2091254752852,12.2881355932203,17.78652140627971
Centro Leste,Feira de Santana,291080,Feira de Santana,16.3520678685048,16.627931544475,17.0935703084161,16.4907367514003,17.0918103893421,16.0023163787279,15.5290436143164,14.5618807072081,13.5142995637421,12.4961808738161,15.57598379999489
Centro Leste,Feira de Santana,291125,Gavião,20.5128205128205,23.0769230769231,25.0,28.5714285714286,22.2222222222222,6.66666666666667,22.2222222222222,12.0,18.6046511627907,7.5,18.6376934435074
