Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,Unnamed: 5,2011,Unnamed: 7,2012,Unnamed: 9,2013,Unnamed: 11,2014,Unnamed: 13,2015,Unnamed: 15,2016,Unnamed: 17,2017,Unnamed: 19,2018,Unnamed: 21,2019,Unnamed: 23,Unnamed: 24,Unnamed: 25,NRS/R.Saúde/Mun Res,2010.1,2011.1,2012.1,2013.1,2014.1,2015.1,2016.1,2017.1,2018.1,2019.1,Total,Unnamed: 38,NRS/R.Saúde/Mun ,2010.2,2011.2,2012.2,2013.2,2014.2,2015.2,2016.2,2017.2,2018.2,2019.2
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,8,-,5,-,5,-,3,-,5,-,4,-,3,-,7,-,4,-,8,-,,,......Amélia Rodrigues,361.0,311.0,278.0,287.0,285.0,270.0,228.0,222.0,186.0,197.0,2625.0,,......Amélia Rodrigues,25190.0,25134.0,25080.0,26475.0,26465.0,26443.0,26424.0,26409.0,25224.0,25102.0
Centro Leste,Feira de Santana,290150,Anguera,0,-,1,-,1,-,0,-,0,-,2,-,2,-,0,-,5,-,0,-,,,......Anguera,115.0,114.0,101.0,89.0,92.0,95.0,80.0,82.0,79.0,44.0,891.0,,......Anguera,10242.0,10336.0,10427.0,11115.0,11209.0,11296.0,11402.0,11481.0,11142.0,11221.0
Centro Leste,Feira de Santana,290170,Antônio Cardoso,3,-,2,-,2,-,1,-,2,-,1,-,3,-,2,-,3,-,2,-,,,......Antônio Cardoso,185.0,231.0,176.0,162.0,188.0,140.0,136.0,137.0,122.0,99.0,1576.0,,......Antônio Cardoso,11554.0,11549.0,11545.0,12206.0,12211.0,12220.0,12200.0,12208.0,11691.0,11683.0
Centro Leste,Feira de Santana,290260,Baixa Grande,9,-,2,-,4,-,2,-,2,-,2,-,3,-,4,-,1,-,2,-,,,......Baixa Grande,233.0,275.0,230.0,239.0,225.0,207.0,221.0,223.0,223.0,206.0,2282.0,,......Baixa Grande,20060.0,20046.0,20031.0,21175.0,21190.0,21199.0,21393.0,21403.0,20488.0,20468.0
Centro Leste,Feira de Santana,290640,Candeal,2,-,2,-,1,-,1,-,1,-,1,-,1,-,1,-,2,-,1,-,,,......Candeal,92.0,123.0,130.0,113.0,91.0,91.0,97.0,110.0,87.0,66.0,1000.0,,......Candeal,8895.0,8806.0,8720.0,9146.0,9076.0,9011.0,8894.0,8837.0,8338.0,8258.0
Centro Leste,Feira de Santana,290685,Capela do Alto Alegre,2,-,3,-,1,-,1,-,1,-,0,-,1,-,0,-,1,-,3,-,,,......Capela do Alto Alegre,105.0,115.0,99.0,94.0,98.0,98.0,96.0,107.0,113.0,99.0,1024.0,,......Capela do Alto Alegre,11527.0,11506.0,11485.0,12131.0,12125.0,12116.0,12203.0,12199.0,11660.0,11637.0
Centro Leste,Feira de Santana,290850,Conceição do Jacuípe,8,-,10,-,7,-,8,-,7,-,7,-,10,-,2,-,3,-,5,-,,,......Conceição do Jacuípe,405.0,435.0,436.0,414.0,420.0,410.0,370.0,363.0,359.0,309.0,3921.0,,......Conceição do Jacuípe,30123.0,30425.0,30717.0,32756.0,33070.0,33352.0,33624.0,33876.0,32909.0,33153.0
Centro Leste,Feira de Santana,290890,Coração de Maria,9,-,1,-,3,-,8,-,4,-,0,-,0,-,1,-,4,-,1,-,,,......Coração de Maria,363.0,323.0,331.0,283.0,282.0,280.0,261.0,268.0,263.0,236.0,2890.0,,......Coração de Maria,22401.0,22273.0,22149.0,23314.0,23223.0,23146.0,23961.0,23896.0,22719.0,22605.0
Centro Leste,Feira de Santana,291080,Feira de Santana,153,16.2248144220573,152,16.0574688358335,140,14.636696288552,140,15.079707022835,171,17.6598161726738,122,11.7749252002702,156,15.2552317621748,151,14.6687390713037,148,14.348036839554,136,13.8506976270496,,,......Feira de Santana,9430.0,9466.0,9565.0,9284.0,9683.0,10361.0,10226.0,10294.0,10315.0,9819.0,98443.0,,......Feira de Santana,556642.0,562466.0,568099.0,606141.0,611999.0,617527.0,622639.0,627477.0,609913.0,614872.0
Centro Leste,Feira de Santana,291125,Gavião,0,-,2,-,2,-,1,-,0,-,0,-,0,-,1,-,2,-,0,-,,,......Gavião,39.0,65.0,56.0,49.0,45.0,45.0,45.0,50.0,43.0,40.0,477.0,,......Gavião,4561.0,4535.0,4510.0,4748.0,4729.0,4710.0,4740.0,4725.0,4487.0,4463.0
