Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,1º VIG 2015 %,2º VIG 2015 %,1º VIG 2016 %,2º VIG 2016 %,1º VIG 2017 %,2º VIG 2017 %,1º VIG 2018 %,2º VIG 2018 %,1º VIG 2019 %,2º VIG 2019 %,1º VIG 2020 %,2º VIG 2020 %
Centro Leste,Seabra,290010,Abaíra,96.41,95.67,95.79,96.3,83.05,82.4,89.9,87.63,"86,55","79,62",53.71,79.06
Norte,Paulo Afonso,290020,Abaré,90.16,89.74,86.33,87.37,87.98,87.72," 78,42",85.32,"80,30","87,27",49.9,38.17
Nordeste,Alagoinhas,290030,Acajutiba,100.0,99.74,98.22,97.99,99.9,99.91," 98,78",82.7,"80,42","80,62",25.74,31.019999999999996
Nordeste,Ribeira do Pombal,290035,Adustina,81.24,83.91,83.76,81.09,86.03,86.46," 81,07",84.28,"84,78","87,43",62.39,26.82
Centro Leste,Serrinha,290040,Água Fria,91.76,90.27,85.48,88.69,87.59,84.89," 85,39",89.32,"90,19","88,98",35.78,43.46
Sul,Jequié,290060,Aiquara,86.15,90.57,75.69,80.51,80.1,77.39," 77,98",89.85,"87,74","90,17",27.68,30.09
Nordeste,Alagoinhas,290070,Alagoinhas,69.76,76.48,85.47,93.27,88.64,86.23," 90,60",86.79,"68,87","91,35",52.45000000000001,69.77
Extremo Sul,Teixeira de Freitas,290080,Alcobaça,93.46,96.32,97.64,71.96,79.54,80.01," 79,69",59.76,"65,33","64,72",33.35,42.71
Sul,Itabuna,290090,Almadina,80.7,74.88,80.52,83.2,82.51,93.05," 94,87",91.4,"94,07","94,59",88.92,88.94999999999999
Leste,Santo Antônio de Jesus,290100,Amargosa,86.29,84.98,85.89,77.28,70.77,79.16," 71,18",86.58,"85,67","84,33",43.260000000000005,51.53
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,75.76,82.98,72.49,44.98,56.91,91.36, 100,77.06,"64,49","81,17",10.7,8.88
Centro Norte,Irecê,290115,América Dourada,51.52,57.69,39.89,78.26,80.64,78.1," 66,30",85.49,"83,99","86,28",30.81,39.71
Sudoeste,Vitória da Conquista,290120,Anagé,79.26,84.03,76.55,81.92,82.19,74.83," 84,79",88.7,"89,03","87,06",85.13000000000001,84.5
Centro Leste,Itaberaba,290130,Andaraí,72.28,78.01,80.82,85.92,85.76,84.57," 83,04",91.44,"86,90","87,73",46.03,53.56999999999999
Norte,Senhor do Bonfim,290135,Andorinha,77.88,87.09,85.31,99.75,71.41,84.26," 97,10",89.06,"92,99","84,89",32.79,30.919999999999998
Oeste,Barreiras,290140,Angical,71.33,72.07,92.59,75.31,72.8,72.45," 75,47",85.79,"81,50","80,67",36.620000000000005,28.67
Centro Leste,Feira de Santana,290150,Anguera,84.54,87.64,83.45,74.45,91.18,89.2," 87,33",91.55,"86,28","91,10",38.95,41.15
Nordeste,Ribeira do Pombal,290160,Antas,80.26,87.24,76.58,84.47,89.71,81.04," 86,32",88.6,"85,99","89,82",31.06,32.379999999999995
Centro Leste,Feira de Santana,290170,Antônio Cardoso,82.98,89.24,83.77,74.11,89.89,89.48," 86,54",90.36,"92,74","91,75",24.77,82.11
Norte,Senhor do Bonfim,290180,Antônio Gonçalves,86.79,88.77,90.67,98.91,98.53,96.57," 97,40 ",97.88,"99,09","97,87",31.24,73.24000000000001
Nordeste,Alagoinhas,290190,Aporá,97.01,98.13,99.41,94.35,99.73,99.86," 95,49",95.37,"84,92","83,02",23.44,33.51
Sul,Jequié,290195,Apuarema,85.47,96.69,87.28,59.64,73.8,66.79," 63,64",66.57,"78,30","80,12",64.92,31.16
Nordeste,Alagoinhas,290205,Araçás,62.08,72.74,70.15,86.8,87.12,87.56," 90,19",88.51,"86,51","90,07",35.980000000000004,35.589999999999996
Sudoeste,Brumado,290200,Aracatu,97.97,97.3,97.66,97.97,97.58,96.56," 98,09",98.17,"97,59","96,98",95.77,96.28999999999999
Centro Leste,Serrinha,290210,Araci,82.9,84.57,53.9,77.92,79.29,80.92," 77,33",73.2,"61,88","87,06",33.93,21.95
Nordeste,Alagoinhas,290220,Aramari,71.48,63.01,61.4,69.23,100.0,91.02," 99,94",79.69,"74,44","87,82",22.48,20.64
Sul,Ilhéus,290225,Arataca,81.51,83.85,59.79,85.11,84.75,85.39," 85,12",87.05,"87,34","87,96",24.12,25.569999999999997
Leste,Santo Antônio de Jesus,290230,Aratuípe,86.39,87.57,86.65,95.34,87.84,84.06," 84,45",90.0,"88,39","81,96",82.59,82.28
Sul,Itabuna,290240,Aurelino Leal,77.0,77.67,72.3,79.48,83.5,81.69," 80,39",81.39,"79,46","84,59",27.22,79.99000000000001
Oeste,Barreiras,290250,Baianópolis,81.94,80.93,76.5,75.54,75.98,75.14," 72,02",80.44,"79,27","81,71",34.300000000000004,79.16
Centro Leste,Feira de Santana,290260,Baixa Grande,76.82,77.29,74.37,81.85,81.57,77.91," 80,22",73.53,"85,69","85,96",17.69,47.49
Nordeste,Ribeira do Pombal,290265,Banzaê,84.36,76.74,83.48,84.2,78.1,85.29," 85,65",95.05,"88,64","89,47",15.15,29.07
Oeste,Ibotirama,290270,Barra,84.15,85.76,76.57,86.97,90.3,87.22," 85,05",75.87,"80,84","82,40",39.14,74.2
Sudoeste,Brumado,290280,Barra da Estiva,86.56,91.33,84.73,86.43,99.69,99.37," 99,54",91.48,"99,38","98,56",96.59,92.93
Sudoeste,Vitória da Conquista,290290,Barra do Choça,82.99,88.34,91.01,73.15,80.44,83.52," 77,22",82.39,"89,69","84,95",44.99,63.870000000000005
Centro Norte,Irecê,290300,Barra do Mendes,40.69,90.57,86.65,79.08,75.58,84.58," 81,51",66.12,"93,47","90,68",90.67,98.2
Sul,Jequié,290310,Barra do Rocha,87.97,92.01,76.32,98.22,81.92,79.92," 72,84",83.78,"96,23","96,51",38.61,47.04
