Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2015-12-01 00:00:00,2016-12-01 00:00:00,2017-12-01 00:00:00,2018-12-01 00:00:00,2019-12-01 00:00:00,2020-11-01 00:00:00
Centro Leste,Seabra,290010,Abaíra,1.0,1.0,1.0,1.0,1.0,1.0
Norte,Paulo Afonso,290020,Abaré,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,290030,Acajutiba,0.6606,0.6585,1.0,1.0,0.9122,0.9104
Nordeste,Ribeira do Pombal,290035,Adustina,0.2024,0.1749,0.3738,0.3718,0.4111,0.4049
Centro Leste,Serrinha,290040,Água Fria,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,290060,Aiquara,0.0,1.0,1.0,1.0,1.0,0.776
Nordeste,Alagoinhas,290070,Alagoinhas,0.3819,0.3796,0.3051,0.3539,0.4256,0.4235
Extremo Sul,Teixeira de Freitas,290080,Alcobaça,1.0,0.7409,1.0,1.0,1.0,1.0
Sul,Itabuna,290090,Almadina,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,290100,Amargosa,0.9865,0.9006,0.8951,0.9684,0.9317,0.9264
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,0.9128,0.9134,0.9139,0.9145,1.0,1.0
Centro Norte,Irecê,290115,América Dourada,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,290120,Anagé,1.0,0.2986,1.0,1.0,1.0,1.0
Centro Leste,Itaberaba,290130,Andaraí,1.0,1.0,1.0,1.0,1.0,1.0
Norte,Senhor do Bonfim,290135,Andorinha,0.6964,0.6997,0.8874,0.8909,0.9088,0.9455
Oeste,Barreiras,290140,Angical,0.7021,0.7029,0.9383,0.9394,0.7384,0.4937
Centro Leste,Feira de Santana,290150,Anguera,0.9234,0.916,0.9077,1.0,1.0,1.0
Nordeste,Ribeira do Pombal,290160,Antas,0.3637,0.3597,0.6888,0.6822,0.6992,0.3577
Centro Leste,Feira de Santana,290170,Antônio Cardoso,1.0,1.0,1.0,1.0,1.0,1.0
Norte,Senhor do Bonfim,290180,Antônio Gonçalves,0.5711,0.5662,0.5755,0.8574,1.0,1.0
Nordeste,Alagoinhas,290190,Aporá,0.362,0.3604,0.3589,0.3763,0.3904,0.1946
Sul,Jequié,290195,Apuarema,0.8869,0.8889,0.8909,0.8926,0.9375,0.0
Nordeste,Alagoinhas,290205,Araçás,1.0,0.8313,1.0,1.0,1.0,1.0
Sudoeste,Brumado,290200,Aracatu,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,290210,Araci,0.3856,0.3832,0.3343,0.2467,0.2301,0.2538
Nordeste,Alagoinhas,290220,Aramari,0.307,0.6099,0.6061,0.5896,0.6089,0.6054
Sul,Ilhéus,290225,Arataca,1.0,0.8818,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,290230,Aratuípe,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,290240,Aurelino Leal,0.7781,1.0,1.0,1.0,1.0,1.0
Oeste,Barreiras,290250,Baianópolis,0.9769,0.9722,1.0,0.9635,1.0,1.0
Centro Leste,Feira de Santana,290260,Baixa Grande,0.9771,0.9766,0.9676,0.9672,0.9664,0.8428
Nordeste,Ribeira do Pombal,290265,Banzaê,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Ibotirama,290270,Barra,0.1924,0.191,0.2529,0.3769,0.3889,0.4563
Sudoeste,Brumado,290280,Barra da Estiva,1.0,1.0,1.0,1.0,1.0,1.0
