Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,40.0,37.0,39,34,34.0,39,22.0,34.0,26.0,25.0,39.0
Centro Leste,Feira de Santana,290150,Anguera,17.0,10.0,8,10,10.0,11,10.0,11.0,7.0,7.0,3.0
Centro Leste,Feira de Santana,290170,Antônio Cardoso,16.0,14.0,13,11,5.0,13,12.0,13.0,10.0,8.0,5.0
Centro Leste,Feira de Santana,290260,Baixa Grande,10.0,11.0,17,20,19.0,23,18.0,23.0,30.0,29.0,23.0
Centro Leste,Feira de Santana,290640,Candeal,11.0,9.0,6,8,8.0,5,4.0,11.0,9.0,11.0,10.0
Centro Leste,Feira de Santana,290685,Capela do Alto Alegre,12.0,9.0,4,7,8.0,9,7.0,8.0,10.0,9.0,5.0
Centro Leste,Feira de Santana,290850,Conceição do Jacuípe,38.0,30.0,45,37,33.0,40,51.0,33.0,41.0,38.0,32.0
Centro Leste,Feira de Santana,290890,Coração de Maria,24.0,32.0,17,12,17.0,29,27.0,35.0,34.0,34.0,36.0
Centro Leste,Feira de Santana,291080,Feira de Santana,739.0,769.0,713,728,732.0,696,723.0,760.0,703.0,750.0,691.0
Centro Leste,Feira de Santana,291125,Gavião,2.0,3.0,4,4,3.0,4,1.0,5.0,6.0,2.0,3.0
Centro Leste,Feira de Santana,291330,Ichu,5.0,8.0,5,6,5.0,5,3.0,6.0,4.0,6.0,3.0
Centro Leste,Feira de Santana,291380,Ipecaetá,15.0,14.0,9,18,5.0,13,8.0,17.0,19.0,14.0,20.0
Centro Leste,Feira de Santana,291400,Ipirá,43.0,38.0,44,52,41.0,46,45.0,44.0,62.0,47.0,43.0
Centro Leste,Feira de Santana,291450,Irará,22.0,32.0,26,29,37.0,32,29.0,42.0,43.0,36.0,35.0
Centro Leste,Feira de Santana,292210,Mundo Novo,31.0,23.0,24,20,23.0,13,15.0,19.0,14.0,24.0,29.0
Centro Leste,Feira de Santana,292273,Nova Fátima,7.0,10.0,12,9,6.0,8,7.0,12.0,5.0,9.0,10.0
Centro Leste,Feira de Santana,292405,Pé de Serra,10.0,9.0,14,8,7.0,7,13.0,13.0,17.0,10.0,9.0
Centro Leste,Feira de Santana,292465,Pintadas,6.0,4.0,9,9,10.0,6,7.0,9.0,6.0,13.0,15.0
Centro Leste,Feira de Santana,292595,Rafael Jambeiro,21.0,25.0,24,16,16.0,14,27.0,24.0,19.0,25.0,19.0
Centro Leste,Feira de Santana,292630,Riachão do Jacuípe,33.0,33.0,26,42,38.0,43,33.0,40.0,42.0,36.0,33.0
Centro Leste,Feira de Santana,292750,Santa Bárbara,25.0,26.0,28,36,23.0,20,19.0,30.0,27.0,24.0,22.0
Centro Leste,Feira de Santana,292830,Santanópolis,7.0,11.0,14,9,7.0,9,9.0,12.0,13.0,11.0,7.0
Centro Leste,Feira de Santana,292880,Santo Estêvão,53.0,79.0,66,48,55.0,78,63.0,67.0,75.0,70.0,68.0
Centro Leste,Feira de Santana,292930,São Gonçalo dos Campos,45.0,29.0,41,28,36.0,33,37.0,43.0,35.0,37.0,36.0
