Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,PENTA,POLIO,PNM,TV,%,PENTA.1,POLIO.1,PNM.1,TV.1,%.1,PENTA.2,POLIO.2,PNM.2,TV.2,%.2,PENTA.3,POLIO.3,PNM.3,TV.3,%.3,PENTA.4,POLIO.4,PNM.4,TV.4,%.4
Centro Leste,Seabra,290010,Abaíra,193.88,75.51,214.29,169.39,0.75,106.122448979592,100.0,100.0,148.979591836735,1.0,126.530612244898,114.285714285714,140.816326530612,116.326530612245,1.0,165.909090909091,179.545454545455,170.454545454545,179.545454545455,1.0,109.09,95.45,102.27,115.91,1.0
Norte,Paulo Afonso,290020,Abaré,104.4,89.94,120.44,117.61,0.75,92.7672955974843,83.6477987421384,100.314465408805,83.3333333333333,0.25,102.713178294574,104.263565891473,112.015503875969,113.565891472868,1.0,94.6969696969697,93.5606060606061,101.515151515152,109.469696969697,0.5,96.59,101.14,81.82,82.95,0.5
Nordeste,Alagoinhas,290030,Acajutiba,12.92,14.04,15.73,17.98,0.0,61.2359550561798,61.2359550561798,72.4719101123596,64.0449438202247,0.0,95.9302325581395,93.6046511627907,103.488372093023,88.3720930232558,0.5,68.0851063829787,66.4893617021277,68.0851063829787,87.7659574468085,0.0,65.43,67.02,62.23,75.0,0.0
Nordeste,Ribeira do Pombal,290035,Adustina,88.51,82.76,85.63,72.41,0.0,67.816091954023,66.6666666666667,75.8620689655172,67.816091954023,0.0,92.8571428571429,91.4285714285714,94.2857142857143,128.571428571429,0.25,87.4285714285714,93.7142857142857,91.4285714285714,102.857142857143,0.25,53.14,37.71,42.86,114.86,0.25
Centro Leste,Serrinha,290040,Água Fria,116.2,107.82,127.37,131.84,1.0,103.91061452514,111.731843575419,113.966480446927,152.513966480447,1.0,127.586206896552,110.919540229885,107.471264367816,115.51724137931,1.0,54.7058823529412,52.3529411764706,63.5294117647059,61.1764705882353,0.0,45.88,33.53,28.24,51.18,0.0
Sul,Jequié,290060,Aiquara,50.0,68.75,104.17,62.5,0.25,89.5833333333333,93.75,93.75,70.8333333333333,0.0,77.9661016949153,77.9661016949153,81.3559322033898,67.7966101694915,0.0,63.2352941176471,63.2352941176471,77.9411764705882,64.7058823529412,0.0,66.18,70.59,48.53,35.29,0.0
Nordeste,Alagoinhas,290070,Alagoinhas,53.37,49.13,59.74,57.62,0.0,43.7420449724226,45.6512515910055,52.1001272804412,47.7301654645736,0.0,32.7018121911038,32.1252059308072,33.1960461285008,30.7660626029654,0.0,23.5884567126725,29.4019238812212,29.9456294437474,43.3291509828524,0.0,8.91,13.55,14.93,14.81,0.0
Extremo Sul,Teixeira de Freitas,290080,Alcobaça,25.9,32.46,29.84,44.92,0.0,68.5245901639344,67.8688524590164,84.9180327868852,74.0983606557377,0.0,89.9665551839465,87.6254180602007,109.364548494983,79.2642140468227,0.25,102.047781569966,100.341296928328,114.334470989761,107.508532423208,1.0,82.94,88.05,86.01,83.96,0.0
Sul,Itabuna,290090,Almadina,72.06,70.59,110.29,94.12,0.25,76.4705882352941,64.7058823529412,91.1764705882353,92.6470588235294,0.0,128.767123287671,131.506849315069,119.178082191781,128.767123287671,1.0,90.7894736842105,92.1052631578947,88.1578947368421,131.578947368421,0.25,67.11,67.11,94.74,35.53,0.0
Leste,Santo Antônio de Jesus,290100,Amargosa,66.08,50.66,74.01,87.89,0.0,92.0704845814978,90.9691629955947,101.762114537445,96.0352422907489,0.5,92.2077922077922,91.5584415584416,96.969696969697,97.4025974025974,0.5,110.606060606061,110.17316017316,105.194805194805,112.554112554113,1.0,86.36,84.42,85.06,85.06,0.0
