Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,Unnamed: 5,2011,Unnamed: 7,2012,Unnamed: 9,2013,Unnamed: 11,2014,Unnamed: 13,2015,Unnamed: 15,2016,Unnamed: 17,2017,Unnamed: 19,2018,Unnamed: 21,2019,Unnamed: 23,2020,Unnamed: 25
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,0,0,8,100,12,92.31,9,100,4,80,3,100,3,100,3,75,3,50,8,80,3,50
Centro Leste,Feira de Santana,290150,Anguera,0,0,0,0,1,50,1,100,1,100,1,100,1,33.33,2,66.67,3,100,1,100,3,100
Centro Leste,Feira de Santana,290170,Antônio Cardoso,1,100,2,100,0,0,4,80,0,0,-,0,0,0,0,0,0,0,0,0,0,0
Centro Leste,Feira de Santana,290260,Baixa Grande,1,100,1,100,9,100,8,100,12,100,3,100,0,0,1,100,5,83.33,3,100,3,100
Centro Leste,Feira de Santana,290640,Candeal,1,100,0,0,0,0,2,66.67,0,0,1,100,0,0,0,0,1,100,0,0,2,100
Centro Leste,Feira de Santana,290685,Capela do Alto Alegre,1,100,1,100,2,100,4,100,2,100,-,0,4,100,5,100,6,85.71,6,85.71,4,100
Centro Leste,Feira de Santana,290850,Conceição do Jacuípe,2,100,2,100,5,100,6,100,3,100,9,100,10,100,5,100,6,100,5,100,8,100
Centro Leste,Feira de Santana,290890,Coração de Maria,1,100,2,100,1,50,9,100,5,83.33,5,100,3,75,5,100,2,66.67,2,50,5,100
Centro Leste,Feira de Santana,291080,Feira de Santana,45,83.33,173,92.51,184,72.16,232,82.56,177,68.08,154,49.04,137,53.52,124,59.33,230,58.38,146,42.07,211,77.01
Centro Leste,Feira de Santana,291125,Gavião,0,0,0,0,1,100,2,100,0,0,5,100,4,100,1,100,7,100,4,100,2,100
Centro Leste,Feira de Santana,291330,Ichu,0,0,1,100,0,0,4,100,3,100,-,0,0,0,0,0,1,100,1,100,0,0
Centro Leste,Feira de Santana,291380,Ipecaetá,0,0,0,0,1,100,1,100,0,0,3,100,0,0,0,0,1,100,0,0,3,100
Centro Leste,Feira de Santana,291400,Ipirá,4,100,2,66.67,5,100,7,100,5,100,3,100,14,100,10,100,11,91.67,5,100,9,90
Centro Leste,Feira de Santana,291450,Irará,1,100,1,100,5,100,3,100,4,100,3,100,4,100,7,100,5,100,4,100,21,100
Centro Leste,Feira de Santana,292210,Mundo Novo,0,0,0,0,2,100,1,50,1,100,1,100,2,100,1,100,2,100,6,100,12,100
Centro Leste,Feira de Santana,292273,Nova Fátima,10,100,12,100,13,100,9,100,3,100,1,50,1,100,4,100,8,100,8,88.89,3,100
Centro Leste,Feira de Santana,292405,Pé de Serra,0,0,0,0,2,66.67,0,0,5,100,3,100,1,100,3,100,6,100,6,85.71,5,100
Centro Leste,Feira de Santana,292465,Pintadas,1,100,0,0,1,100,2,100,1,100,4,100,1,100,0,0,1,50,3,75,17,94.44
Centro Leste,Feira de Santana,292595,Rafael Jambeiro,3,100,7,100,2,100,2,66.67,2,100,2,100,2,100,5,100,0,0,6,100,5,100
Centro Leste,Feira de Santana,292630,Riachão do Jacuípe,42,100,15,100,11,100,10,100,21,100,22,100,7,100,13,100,13,100,8,100,16,94.12
Centro Leste,Feira de Santana,292750,Santa Bárbara,1,100,1,100,1,33.33,3,100,0,0,3,100,2,50,2,100,1,100,1,33.33,2,66.67
Centro Leste,Feira de Santana,292830,Santanópolis,0,0,1,100,0,0,1,100,0,0,-,0,0,0,2,100,1,100,1,50,4,100
Centro Leste,Feira de Santana,292880,Santo Estêvão,0,0,4,100,8,100,2,100,6,100,7,100,10,90.91,13,86.67,9,90,10,76.92,11,84.62
Centro Leste,Feira de Santana,292930,São Gonçalo dos Campos,5,100,6,100,4,80,5,83.33,4,28.57,3,100,9,56.25,11,17.19,7,70,14,82.35,7,87.5
Centro Leste,Feira de Santana,293040,Serra Preta,0,0,1,50,2,100,0,0,0,0,-,0,0,0,1,100,1,100,2,66.67,1,100
Centro Leste,Feira de Santana,293110,Tanquinho,0,0,0,0,0,0,1,100,2,100,-,0,0,0,0,0,1,100,1,100,2,100
Centro Leste,Feira de Santana,293140,Teodoro Sampaio,1,100,2,100,2,100,1,100,1,100,5,100,1,100,1,100,2,100,1,50,8,100
Centro Leste,Feira de Santana,293170,Terra Nova,0,0,0,0,2,100,6,100,1,100,2,100,2,66.67,1,100,3,100,0,0,39,100
Centro Leste,Itaberaba,290130,Andaraí,0,0,1,100,5,100,5,100,8,100,11,100,4,100,5,100,5,100,5,100,5,100
Centro Leste,Itaberaba,290380,Boa Vista do Tupim,1,100,2,100,2,100,3,100,3,100,1,100,2,66.67,8,88.89,16,94.12,5,100,28,90.32
Centro Leste,Itaberaba,290405,Bonito,1,100,3,100,2,100,3,100,0,0,5,100,1,100,6,100,4,100,24,100,55,100
Centro Leste,Itaberaba,291190,Iaçu,10,100,9,100,1,100,8,100,10,100,9,100,12,100,9,100,11,100,9,90,86,94.51
Centro Leste,Itaberaba,291260,Ibiquera,1,100,0,0,0,0,0,0,0,0,3,100,2,100,0,0,1,100,1,100,1,100
Centro Leste,Itaberaba,291470,Itaberaba,25,96.15,29,100,20,100,33,94.29,50,98.04,45,100,141,100,156,93.98,86,86,172,95.56,194,97
Centro Leste,Itaberaba,291500,Itaeté,1,100,0,0,5,100,5,100,6,100,3,100,3,100,5,100,1,100,2,100,1,100
Centro Leste,Itaberaba,291900,Lajedinho,2,100,1,100,2,100,0,0,0,0,-,0,2,100,1,100,0,0,0,0,3,100
Centro Leste,Itaberaba,291960,Macajuba,3,100,3,100,1,100,1,100,0,0,2,100,3,100,3,100,5,100,1,100,0,0
Centro Leste,Itaberaba,292080,Marcionílio Souza,3,100,3,100,2,100,1,100,1,100,2,100,5,100,3,100,3,100,0,0,6,100
