Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2012,2013,2014,2015,2016,2017,2018,2019,2020**,MÉDIA
Centro Leste,Seabra,290010,Abaíra,-,0,100.0,0.0,0.0,0,0,100.0,0.0,25.0
Norte,Paulo Afonso,290020,Abaré,-,0,0.0,0.0,71.4,33.3,50,50.0,0.0,25.5875
Nordeste,Alagoinhas,290030,Acajutiba,100,66.7,0.0,16.7,0.0,100,0,0.0,0.0,31.488888888888887
Nordeste,Ribeira do Pombal,290035,Adustina,100,100,100.0,0.0,0.0,0,100,50.0,0.0,50.0
Centro Leste,Serrinha,290040,Água Fria,-,66.7,50.0,0.0,0.0,25,0,0.0,100.0,30.2125
Sul,Jequié,290060,Aiquara,-,0,0.0,0.0,66.7,50,0,0.0,0.0,14.5875
Nordeste,Alagoinhas,290070,Alagoinhas,68.8,100,84.2,100.0,60.0,84.2,85.7,96.7,71.4,83.44444444444444
Extremo Sul,Teixeira de Freitas,290080,Alcobaça,100,80,37.5,0.0,50.0,33.3,0,25.0,0.0,36.2
Sul,Itabuna,290090,Almadina,-,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Leste,Santo Antônio de Jesus,290100,Amargosa,75,100,100.0,100.0,100.0,100,80,100.0,100.0,95.0
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,71.4,100,71.4,0.0,40.0,42.9,0,71.4,0.0,44.12222222222223
Centro Norte,Irecê,290115,América Dourada,-,100,40.0,85.7,100.0,100,100,100.0,100.0,90.7125
Sudoeste,Vitória da Conquista,290120,Anagé,100,0,83.3,66.7,100.0,100,0,16.7,100.0,62.96666666666667
Centro Leste,Itaberaba,290130,Andaraí,-,75,100.0,66.7,0.0,100,80,66.7,50.0,67.3
Norte,Senhor do Bonfim,290135,Andorinha,80,66.7,0.0,0.0,0.0,0,0,40.0,0.0,20.744444444444444
Oeste,Barreiras,290140,Angical,100,100,50.0,100.0,0.0,33.3,100,0.0,0.0,53.7
Centro Leste,Feira de Santana,290150,Anguera,100,100,100.0,88.9,0.0,100,0,100.0,0.0,65.43333333333334
Nordeste,Ribeira do Pombal,290160,Antas,-,0,100.0,50.0,0.0,0,80,0.0,33.3,32.9125
Centro Leste,Feira de Santana,290170,Antônio Cardoso,-,33.3,66.7,100.0,0.0,0,0,0.0,100.0,37.5
Norte,Senhor do Bonfim,290180,Antônio Gonçalves,25,0,84.2,100.0,0.0,0,0,0.0,0.0,23.244444444444444
Nordeste,Alagoinhas,290190,Aporá,50,50,100.0,25.0,100.0,100,0,100.0,100.0,69.44444444444444
Sul,Jequié,290195,Apuarema,-,100,75.0,0.0,0.0,0,0,50.0,0.0,28.125
Nordeste,Alagoinhas,290205,Araças,100,0,0.0,50.0,0.0,0,100,0.0,0.0,27.77777777777778
Sudoeste,Brumado,290200,Aracatu,66.7,100,100.0,100.0,100.0,100,0,0.0,0.0,62.96666666666667
Centro Leste,Serrinha,290210,Araci,50,69.2,51.1,100.0,0.0,62.5,66.7,41.7,50.0,54.577777777777776
Nordeste,Alagoinhas,290220,Aramari,-,0,100.0,0.0,0.0,0,0,66.7,0.0,20.8375
Sul,Ilhéus,290225,Arataca,100,50,0.0,100.0,0.0,0,0,100.0,0.0,38.888888888888886
Leste,Santo Antônio de Jesus,290230,Aratuípe,-,100,33.3,0.0,0.0,0,100,0.0,0.0,29.1625
Sul,Itabuna,290240,Aurelino Leal,66.7,0,0.0,100.0,25.0,25,0,0.0,0.0,24.077777777777776
Oeste,Barreiras,290250,Baianópolis,100,0-,40.0,60.0,100.0,100,0,0.0,0.0,50.0
Centro Leste,Feira de Santana,290260,Baixa Grande,50,100,66.7,33.3,100.0,66.7,0,100.0,0.0,57.41111111111112
Nordeste,Ribeira do Pombal,290265,Banzaê,-,100,100.0,0.0,0.0,0,0,0.0,0.0,25.0
Oeste,Ibotirama,290270,Barra,-,73.3,95.8,90.0,83.3,75,0,0.0,50.0,58.425000000000004
Sudoeste,Brumado,290280,Barra da Estiva,100,100,100.0,100.0,85.7,81.8,100,100.0,0.0,85.27777777777777
Sudoeste,Vitória da Conquista,290290,Barra do Choça,85.7,55.6,72.7,100.0,100.0,100,100,33.3,100.0,83.03333333333333
Centro Norte,Irecê,290300,Barra do Mendes,50,50,66.7,100.0,100.0,85.7,66.7,0.0,0.0,57.67777777777778
Sul,Jequié,290310,Barra do Rocha,66.7,100,66.7,0.0,0.0,100,0,0.0,100.0,48.15555555555555
Oeste,Barreiras,290320,Barreiras,81.2,75,82.8,95.0,50.0,62.1,85.7,83.3,53.8,74.32222222222222
Centro Norte,Irecê,290323,Barro Alto,50,0,33.3,100.0,100.0,100,0,100.0,100.0,64.8111111111111
Sul,Itabuna,290330,Barro Preto,-,100,100.0,0.0,0.0,0,0,0.0,0.0,25.0
Centro Leste,Serrinha,290327,Barrocas,-,33.3,100.0,100.0,100.0,100,75,100.0,0.0,76.0375
Extremo Sul,Porto Seguro,290340,Belmonte,-,100,0.0,0.0,0.0,50,100,75.0,0.0,40.625
Sudoeste,Vitória da Conquista,290350,Belo Campo,66.7,100,100.0,83.3,100.0,100,100,50.0,0.0,77.77777777777777
Centro Leste,Serrinha,290360,Biritinga,-,100,100.0,100.0,0.0,66.7,100,62.5,100.0,78.65
Sul,Jequié,290370,Boa Nova,75,100,0.0,100.0,100.0,75,100,75.0,0.0,69.44444444444444
Centro Leste,Itaberaba,290380,Boa Vista do Tupim,-,66.7,0.0,0.0,0.0,0,66.7,100.0,0.0,29.175
Oeste,Santa Maria da Vitória,290390,Bom Jesus da Lapa,60,60,81.8,62.5,25.0,42.9,69.2,60.0,53.3,57.18888888888888
Sudoeste,Vitória da Conquista,290395,Bom Jesus da Serra,-,50,75.0,100.0,0.0,50,100,50.0,0.0,53.125
Centro Leste,Seabra,290400,Boninal,50,0,50.0,0.0,100.0,100,100,0.0,100.0,55.55555555555556
