Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,0.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0,0.0,100.0,0.0
Centro Leste,Feira de Santana,290150,Anguera,0.0,100.0,0.0,100.0,100.0,50.0,0.0,100.0,0.0,0.0,0.0
Centro Leste,Feira de Santana,290170,Antônio Cardoso,0.0,0.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro Leste,Feira de Santana,290260,Baixa Grande,50.0,50.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0
Centro Leste,Feira de Santana,290640,Candeal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro Leste,Feira de Santana,290685,Capela do Alto Alegre,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,50.0,50.0,50.0
Centro Leste,Feira de Santana,290850,Conceição do Jacuípe,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0,0.0
Centro Leste,Feira de Santana,290890,Coração de Maria,0.0,100.0,100.0,66.7,100.0,80.0,100.0,0.0,0.0,100.0,100.0
Centro Leste,Feira de Santana,291080,Feira de Santana,94.1,85.7,95.8,93.5,85.6,89.5,73.6,92.3,82.1,93.2,92.3
Centro Leste,Feira de Santana,291125,Gavião,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro Leste,Feira de Santana,291330,Ichu,0.0,0.0,50.0,100.0,0.0,66.7,100.0,100.0,0.0,100.0,0.0
Centro Leste,Feira de Santana,291380,Ipecaetá,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0
Centro Leste,Feira de Santana,291400,Ipirá,100.0,100.0,80.0,100.0,0.0,50.0,0.0,0.0,0.0,25.0,0.0
Centro Leste,Feira de Santana,291450,Irará,100.0,0.0,0.0,33.3,0.0,0.0,33.3,100.0,100.0,100.0,0.0
Centro Leste,Feira de Santana,292210,Mundo Novo,100.0,50.0,0.0,0.0,0.0,60.0,0.0,0.0,100.0,100.0,0.0
Centro Leste,Feira de Santana,292273,Nova Fátima,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Centro Leste,Feira de Santana,292405,Pé de Serra,0.0,100.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0
Centro Leste,Feira de Santana,292465,Pintadas,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
Centro Leste,Feira de Santana,292595,Rafael Jambeiro,100.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
Centro Leste,Feira de Santana,292630,Riachão do Jacuípe,50.0,100.0,100.0,0.0,0.0,50.0,0.0,66.7,0.0,50.0,0.0
Centro Leste,Feira de Santana,292750,Santa Bárbara,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
Centro Leste,Feira de Santana,292830,Santanópolis,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro Leste,Feira de Santana,292880,Santo Estêvão,0.0,100.0,50.0,0.0,0.0,0.0,33.3,100.0,100.0,100.0,0.0
Centro Leste,Feira de Santana,292930,São Gonçalo dos Campos,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0
Centro Leste,Feira de Santana,293040,Serra Preta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
Centro Leste,Feira de Santana,293110,Tanquinho,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Centro Leste,Feira de Santana,293140,Teodoro Sampaio,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro Leste,Feira de Santana,293170,Terra Nova,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
Centro Leste,Itaberaba,290130,Andaraí,100.0,90.9,76.9,91.7,90.9,87.5,100.0,66.7,100.0,37.5,66.7
Centro Leste,Itaberaba,290380,Boa Vista do Tupim,100.0,100.0,100.0,0.0,0.0,50.0,0.0,0.0,100.0,100.0,25.0
Centro Leste,Itaberaba,290405,Bonito,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Centro Leste,Itaberaba,291190,Iaçu,78.3,83.3,76.5,73.9,84.2,70.0,88.2,90.9,62.5,75.0,44.4
Centro Leste,Itaberaba,291260,Ibiquera,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro Leste,Itaberaba,291470,Itaberaba,84.4,96.8,84.4,95.1,94.1,92.6,92.3,86.5,83.3,15.4,10.5
Centro Leste,Itaberaba,291500,Itaeté,0.0,50.0,100.0,0.0,100.0,100.0,100.0,66.7,0.0,0.0,0.0
Centro Leste,Itaberaba,291900,Lajedinho,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro Leste,Itaberaba,291960,Macajuba,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Centro Leste,Itaberaba,292080,Marcionílio Souza,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0
Centro Leste,Itaberaba,292285,Nova Redenção,100.0,0.0,0.0,100.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0
Centro Leste,Itaberaba,292720,Ruy Barbosa,50.0,100.0,75.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Centro Leste,Itaberaba,293280,Utinga,100.0,100.0,66.7,83.3,100.0,66.7,100.0,100.0,100.0,66.7,100.0
Centro Leste,Itaberaba,293340,Wagner,0.0,50.0,20.0,20.0,100.0,0.0,0.0,0.0,100.0,33.3,66.7
Centro Leste,Seabra,290010,Abaíra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0
Centro Leste,Seabra,290400,Boninal,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0
Centro Leste,Seabra,291300,Ibitiara,83.3,100.0,100.0,100.0,0.0,50.0,100.0,100.0,0.0,0.0,66.7
Centro Leste,Seabra,291440,Iraquara,0.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Centro Leste,Seabra,291930,Lençóis,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0
Centro Leste,Seabra,292190,Mucugê,66.7,60.0,80.0,71.4,75.0,100.0,50.0,100.0,66.7,33.3,100.0
Centro Leste,Seabra,292303,Novo Horizonte,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Centro Leste,Seabra,292350,Palmeiras,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro Leste,Seabra,292430,Piatã,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0,0.0
Centro Leste,Seabra,292990,Seabra,83.3,83.3,100.0,100.0,100.0,40.0,100.0,75.0,50.0,0.0,100.0
Centro Leste,Seabra,293080,Souto Soares,66.7,100.0,100.0,100.0,100.0,100.0,0.0,66.7,80.0,0.0,60.0
Centro Leste,Serrinha,290040,Água Fria,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro Leste,Serrinha,290210,Araci,95.0,52.9,56.3,78.9,72.0,79.6,91.2,81.1,78.3,87.0,90.9
Centro Leste,Serrinha,290327,Barrocas,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,100.0
Centro Leste,Serrinha,290360,Biritinga,0.0,0.0,100.0,100.0,50.0,100.0,100.0,0.0,0.0,100.0,0.0
Centro Leste,Serrinha,290680,Cansanção,0.0,0.0,50.0,100.0,0.0,0.0,100.0,66.7,50.0,0.0,100.0
Centro Leste,Serrinha,290840,Conceição do Coité,83.3,66.7,66.7,100.0,92.9,83.3,100.0,82.1,83.3,80.0,75.0
Centro Leste,Serrinha,291070,Euclides da Cunha,100.0,100.0,50.0,100.0,75.0,0.0,100.0,75.0,0.0,0.0,20.0
Centro Leste,Serrinha,291910,Lamarão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro Leste,Serrinha,292150,Monte Santo,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
Centro Leste,Serrinha,292265,Nordestina,0.0,0.0,66.7,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
Centro Leste,Serrinha,292580,Queimadas,0.0,0.0,0.0,0.0,0.0,100.0,25.0,0.0,66.7,0.0,85.7
Centro Leste,Serrinha,292590,Quijingue,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,50.0
Centro Leste,Serrinha,292610,Retirolândia,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0
Centro Leste,Serrinha,292800,Santaluz,100.0,80.0,50.0,0.0,33.3,100.0,100.0,33.3,100.0,0.0,16.7
Centro Leste,Serrinha,292895,São Domingos,100.0,0.0,0.0,0.0,0.0,100.0,0.0,66.7,0.0,0.0,0.0
Centro Leste,Serrinha,293050,Serrinha,69.0,50.0,71.4,72.7,95.5,73.3,75.0,61.5,95.2,72.2,50.0
Centro Leste,Serrinha,293150,Teofilândia,50.0,0.0,40.0,100.0,20.0,100.0,0.0,58.3,0.0,66.7,50.0
Centro Leste,Serrinha,293190,Tucano,100.0,100.0,100.0,94.1,84.2,100.0,50.0,66.7,72.7,55.6,20.0
Centro Leste,Serrinha,293300,Valente,66.7,42.9,33.3,33.3,66.7,50.0,100.0,100.0,0.0,50.0,0.0
Centro Norte,Irecê,290115,América Dourada,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0
Centro Norte,Irecê,290300,Barra do Mendes,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0
Centro Norte,Irecê,290323,Barro Alto,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0
Centro Norte,Irecê,290530,Cafarnaum,75.0,80.0,100.0,100.0,100.0,80.0,100.0,100.0,83.3,80.0,0.0
Centro Norte,Irecê,290620,Canarana,100.0,100.0,100.0,83.3,100.0,100.0,100.0,66.7,100.0,0.0,50.0
Centro Norte,Irecê,290760,Central,83.3,66.7,100.0,75.0,75.0,100.0,66.7,0.0,100.0,100.0,100.0
Centro Norte,Irecê,291130,Gentio do Ouro,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0
Centro Norte,Irecê,291240,Ibipeba,0.0,0.0,100.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0
Centro Norte,Irecê,291310,Ibititá,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0
Centro Norte,Irecê,291460,Irecê,90.0,90.0,69.2,70.8,62.5,70.0,60.0,53.3,58.3,82.4,44.4
Centro Norte,Irecê,291535,Itaguaçu da Bahia,0.0,100.0,100.0,100.0,0.0,0.0,50.0,0.0,100.0,0.0,100.0
Centro Norte,Irecê,291835,João Dourado,100.0,100.0,100.0,0.0,100.0,100.0,66.7,0.0,0.0,50.0,50.0
Centro Norte,Irecê,291850,Jussara,100.0,50.0,100.0,100.0,0.0,100.0,80.0,100.0,50.0,75.0,100.0
Centro Norte,Irecê,291915,Lapão,0.0,100.0,0.0,100.0,0.0,66.7,100.0,100.0,100.0,100.0,100.0
Centro Norte,Irecê,292205,Mulungu do Morro,100.0,100.0,100.0,100.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0
Centro Norte,Irecê,292560,Presidente Dutra,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0
Centro Norte,Irecê,292925,São Gabriel,0.0,25.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0
Centro Norte,Irecê,293240,Uibaí,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
Centro Norte,Irecê,293360,Xique-Xique,76.9,87.2,87.2,85.4,76.9,92.3,73.3,86.7,85.7,83.3,88.0
Centro Norte,Jacobina,290510,Caém,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,50.0,100.0,0.0
Centro Norte,Jacobina,290550,Caldeirão Grande,0.0,100.0,0.0,100.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0
Centro Norte,Jacobina,290687,Capim Grosso,85.7,50.0,87.5,55.6,35.7,90.9,93.8,84.6,100.0,100.0,87.5
Centro Norte,Jacobina,291750,Jacobina,71.0,90.0,94.4,83.3,87.5,77.8,91.7,85.0,100.0,88.2,81.0
Centro Norte,Jacobina,292010,Mairi,100.0,100.0,87.5,83.3,80.0,100.0,100.0,66.7,50.0,90.9,50.0
Centro Norte,Jacobina,292120,Miguel Calmon,0.0,0.0,100.0,50.0,100.0,100.0,100.0,100.0,66.7,0.0,100.0
Centro Norte,Jacobina,292140,Mirangaba,0.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0
