NRS/R.Saúde/Município,2010,2011,2012,2013,2014,2015,2016,Total
NRS Centro-Leste,102616,104160,98802,73243,59931,61216,65270,565238
...Região de Saúde de Feira de Santana,49596,52026,45777,33768,27739,30885,32688,272479
......Amélia Rodrigues,694,1011,633,201,471,245,261,3516
......Anguera,568,546,597,156,75,350,216,2508
......Antônio Cardoso,582,574,520,604,400,320,375,3375
......Baixa Grande,891,1010,917,741,685,643,476,5363
......Candeal,256,254,315,340,431,350,293,2239
......Capela do Alto Alegre,835,889,701,726,423,335,624,4533
......Conceição do Jacuípe,1442,1166,933,901,487,962,745,6636
......Coração de Maria,1015,996,643,53,165,189,520,3581
......Feira de Santana,26062,28569,24999,20067,14491,16934,19223,150345
......Gavião,324,357,291,293,130,101,146,1642
......Ichu,361,235,330,193,173,267,241,1800
......Ipecaetá,701,686,414,395,348,365,339,3248
......Ipirá,2344,2913,2554,141,70,879,1598,10499
......Irará,1656,1650,1560,1233,1100,1080,881,9160
......Mundo Novo,1159,898,1056,734,670,677,697,5891
......Nova Fátima,125,162,72,213,69,148,95,884
......Pé de Serra,642,428,498,446,441,267,293,3015
......Pintadas,819,747,700,845,602,620,519,4852
......Rafael Jambeiro,1383,1231,789,842,495,757,564,6061
......Riachão do Jacuípe,1360,913,1079,372,775,1314,979,6792
......Santa Bárbara,1096,1120,947,722,385,472,348,5090
......Santanópolis,506,455,359,385,342,357,267,2671
......Santo Estêvão,1599,1311,1416,883,1383,1098,1291,8981
......São Gonçalo dos Campos,1380,1598,1578,860,1523,980,837,8756
......Serra Preta,565,830,626,158,336,138,84,2737
......Tanquinho,494,354,347,257,358,323,313,2446
......Teodoro Sampaio,232,605,417,362,409,296,194,2515
......Terra Nova,505,518,486,645,502,418,269,3343
...Região de Saúde de Itaberaba,10433,11686,9689,6238,8207,9589,10056,65898
......Andaraí,757,918,771,823,631,857,727,5484
......Boa Vista do Tupim,906,851,605,8,13,483,504,3370
......Bonito,731,718,908,492,796,1536,1931,7112
......Iaçu,1236,1253,1214,125,35,811,773,5447
......Ibiquera,129,101,49,36,88,61,20,484
......Itaberaba,1144,2451,1163,1776,2837,2258,2220,13849
......Itaeté,879,926,913,829,783,647,564,5541
......Lajedinho,286,253,229,81,134,223,205,1411
......Macajuba,558,425,279,378,724,545,744,3653
......Marcionílio Souza,678,767,943,3,15,122,247,2775
......Nova Redenção,132,174,94,5,8,7,101,521
......Ruy Barbosa,1385,1383,1414,1214,1132,1008,980,8516
......Utinga,1263,1134,780,261,606,619,680,5343
......Wagner,349,332,327,207,405,412,360,2392
...Região de Saúde de Seabra,8695,8371,9445,9128,8201,5689,7590,57119
......Abaíra,386,375,571,366,357,64,302,2421
......Boninal,419,601,519,481,511,439,559,3529
......Ibitiara,977,1151,1030,1026,757,1224,1336,7501
......Iraquara,1300,977,1066,1369,1215,689,879,7495
......Lençóis,354,295,343,398,456,135,154,2135
......Mucugê,509,484,439,543,589,228,109,2901
......Novo Horizonte,267,327,638,458,417,680,644,3431
......Palmeiras,513,316,435,253,363,137,254,2271
......Piatã,841,706,469,711,562,204,375,3868
......Seabra,2137,2043,2478,2026,1908,931,1887,13410
......Souto Soares,992,1096,1457,1497,1066,958,1091,8157
...Região de Saúde de Serrinha,33892,32077,33891,24109,15784,15053,14936,169742
......Água Fria,813,434,474,53,84,212,58,2128
......Araci,1173,1042,1956,807,247,412,476,6113
......Barrocas,431,81,83,341,522,456,587,2501
......Biritinga,515,391,472,265,10,26,29,1708
......Cansanção,796,2042,2011,1989,2266,1654,1903,12661
......Conceição do Coité,7254,6603,6451,6420,4437,4198,3868,39231
......Euclides da Cunha,2844,1899,2346,672,67,89,109,8026
......Lamarão,168,113,163,20,14,68,55,601
......Monte Santo,2819,3223,2337,2277,1925,1653,1980,16214
......Nordestina,1030,1155,984,1034,840,768,685,6496
......Queimadas,1366,1702,859,1107,899,1026,915,7874
......Quijingue,1474,1492,1194,1180,868,687,153,7048
......Retirolândia,929,1072,971,662,700,933,958,6225
......Santaluz,798,807,637,613,75,83,117,3130
......São Domingos,689,719,759,624,394,511,447,4143
......Serrinha,4593,3297,5546,644,119,399,571,15169
......Teofilândia,611,471,967,889,464,84,250,3736
......Tucano,3235,2995,3227,2634,32,40,72,12235
......Valente,2354,2539,2454,1878,1821,1754,1703,14503
NRS Centro-Norte,45308,45301,40201,25967,26999,28655,28370,240801
...Região de Saúde de Irecê,25545,26705,22794,14014,15886,17336,15529,137809
......América Dourada,1208,1105,841,542,1154,917,684,6451
......Barra do Mendes,613,581,348,265,20,119,204,2150
......Barro Alto,663,797,831,814,803,843,687,5438
......Cafarnaum,847,1008,690,846,1331,1282,860,6864
......Canarana,1964,2079,1662,513,46,963,684,7911
......Central,1228,1084,1147,1523,924,1097,791,7794
......Gentio do Ouro,812,786,552,131,9,23,37,2350
......Ibipeba,1274,1593,1149,1209,1017,980,725,7947
......Ibititá,828,1031,954,347,19,508,287,3974
......Irecê,3318,4259,2549,1166,3802,3183,3063,21340
......Itaguaçu da Bahia,857,884,547,691,689,502,502,4672
......João Dourado,1442,1383,858,832,374,609,410,5908
......Jussara,973,953,1211,27,86,49,235,3534
......Lapão,2247,1735,1707,303,45,497,768,7302
......Mulungu do Morro,758,879,706,1110,613,773,733,5572
......Presidente Dutra,1799,1856,1745,1105,1719,1507,1490,11221
......São Gabriel,1422,1444,1407,46,17,884,670,5890
......Uibaí,1379,1310,1422,851,1221,1078,1157,8418
......Xique-Xique,1913,1938,2468,1693,1997,1522,1542,13073
...Região de Saúde de Jacobina,19763,18596,17407,11953,11113,11319,12841,102992
......Caém,480,538,565,676,476,475,438,3648
......Caldeirão Grande,509,465,389,580,493,505,375,3316
......Capim Grosso,776,1244,1148,1415,1255,1296,1167,8301
......Jacobina,3689,3851,3312,1888,2309,1309,2256,18614
......Mairi,1321,1271,1176,954,1023,1064,1136,7945
......Miguel Calmon,1677,1400,1581,132,56,261,1465,6572
......Mirangaba,1021,703,929,712,793,737,672,5567
......Morro do Chapéu,1758,1431,1263,303,584,563,130,6032
......Ourolândia,806,649,804,479,120,357,524,3739
......Piritiba,1336,1050,966,945,855,638,783,6573
......Quixabeira,578,651,480,753,638,624,470,4194
......São José do Jacuípe,747,604,612,590,218,194,248,3213
......Saúde,560,607,532,502,432,423,461,3517
......Serrolândia,686,634,715,626,637,509,522,4329
......Tapiramutá,1157,1094,850,155,29,756,739,4780
......Umburanas,700,439,516,313,78,260,243,2549
......Várzea da Roça,804,1122,652,560,469,357,348,4312
......Várzea do Poço,554,421,391,73,14,527,346,2326
......Várzea Nova,604,422,526,297,634,464,518,3465
NRS Extremo Sul,21285,26614,27551,19398,18291,24618,22252,160009
...Região de Saúde de Porto Seguro,9412,12049,13867,12671,12119,14649,11352,86119
......Belmonte,650,605,730,229,165,43,22,2444
......Eunápolis,2810,2812,4562,3836,3405,6057,3772,27254
......Guaratinga,319,2,4,1,20,36,47,429
......Itabela,372,1056,1709,1175,1284,1380,788,7764
......Itagimirim,0,34,0,0,9,13,122,178
......Itapebi,382,441,366,316,631,373,393,2902
......Porto Seguro,3893,6090,5516,6100,6161,6134,5639,39533
......Santa Cruz Cabrália,986,1009,980,1014,444,613,569,5615
...Região de Saúde de Teixeira de Freitas,11873,14565,13684,6727,6172,9969,10900,73890
......Alcobaça,847,827,589,0,11,12,21,2307
......Caravelas,748,448,357,229,66,23,94,1965
......Ibirapuã,500,372,422,12,5,20,275,1606
......Itamaraju,2516,2859,858,4,174,979,978,8368
......Itanhém,1461,1505,1127,204,3,15,142,4457
......Jucuruçu,498,248,328,102,1,7,344,1528
......Lajedão,248,216,193,0,0,3,4,664
......Medeiros Neto,1,0,4,362,813,1427,1258,3865
......Mucuri,1566,1730,2337,78,11,22,52,5796
......Nova Viçosa,1961,1937,2194,443,704,951,1276,9466
......Prado,1185,663,516,849,317,23,253,3806
......Teixeira de Freitas,10,3389,4636,4444,4061,6479,6197,29216
......Vereda,332,371,123,0,6,8,6,846
NRS Leste,238898,229804,202350,104493,102141,97379,98553,1073618
...Região de Saúde de Camaçari,24272,24098,20484,15360,16443,6948,11454,119059
......Camaçari,13583,13619,10655,10611,10850,3757,5919,68994
......Conde,1189,1086,895,1123,780,655,438,6166
......Dias D'Ávila,1812,1292,1737,947,1614,281,757,8440
......Mata de São João,1889,2064,1713,54,55,62,1764,7601
......Pojuca,1092,1818,1564,57,467,556,552,6106
......Simões Filho,4707,4219,3920,2568,2677,1637,2024,21752
...Região de Saúde de Cruz das Almas,10293,10872,9277,7740,6921,6694,6810,58607
......Cabaceiras do Paraguaçu,813,895,672,475,739,709,610,4913
......Cachoeira,1149,926,988,960,1141,580,672,6416
......Conceição da Feira,824,832,756,734,520,366,387,4419
......Cruz das Almas,1342,1913,1696,1964,135,884,1370,9304
......Governador Mangabeira,1300,686,1186,570,836,797,788,6163
......Maragogipe,1537,2146,1341,989,1608,1013,1216,9850
......Muritiba,1096,1523,999,1165,1226,1063,876,7948
......São Félix,1159,1094,939,480,652,732,554,5610
......Sapeaçu,1073,857,700,403,64,550,337,3984
...Região de Saúde de Salvador,180437,170590,151619,61128,63959,67442,66211,761386
......Candeias,1959,2747,2556,395,172,1411,2026,11266
......Itaparica,777,604,743,882,868,499,519,4892
......Lauro de Freitas,7137,6811,8508,7213,8969,7081,8803,54522
......Madre de Deus,961,791,1141,526,26,25,53,3523
......Salvador,161457,151621,131957,47950,49651,54376,51189,648201
......Santo Amaro,2222,2374,1714,1613,1271,1220,1069,11483
......São Francisco do Conde,2727,2409,2034,427,1591,1421,1194,11803
......São Sebastião do Passé,1706,1349,1072,88,108,111,285,4719
......Saubara,673,575,249,282,109,166,95,2149
......Vera Cruz,818,1309,1645,1752,1194,1132,978,8828
...Região de Saúde de Santo Antônio de Jesus,23896,24244,20970,20265,14818,16295,14078,134566
......Amargosa,1759,2366,2103,2175,1841,1509,1527,13280
......Aratuípe,137,317,355,492,168,221,87,1777
......Castro Alves,2304,1721,1226,1721,922,986,650,9530
......Conceição do Almeida,1630,1421,963,496,380,375,462,5727
......Dom Macedo Costa,374,519,343,405,361,316,269,2587
......Elísio Medrado,621,621,489,679,525,546,476,3957
......Itatim,631,570,249,919,462,415,480,3726
......Jaguaripe,501,804,656,578,575,667,620,4401
......Jiquiriçá,930,888,576,868,434,348,238,4282
......Laje,203,23,75,9,20,428,223,981
......Milagres,352,190,280,3,59,310,21,1215
......Muniz Ferreira,292,246,282,244,159,163,152,1538
......Mutuípe,1315,1273,1157,1269,688,1176,840,7718
......Nazaré,962,1137,1000,721,466,874,618,5778
......Nova Itarana,267,244,375,425,179,198,113,1801
......Presidente Tancredo Neves,590,1243,994,526,34,805,981,5173
......Salinas da Margarida,963,743,940,1041,667,337,490,5181
......Santa Teresinha,839,691,587,685,784,634,204,4424
......São Felipe,1356,1297,1228,951,1201,952,930,7915
......São Miguel das Matas,644,671,393,545,287,424,307,3271
......Ubaíra,924,1027,964,974,480,432,465,5266
......Varzedo,454,508,299,281,294,256,292,2384
......Santo Antônio de Jesus,5848,5724,5436,4258,3832,3923,3633,32654
NRS Nordeste,32483,33184,31825,30515,26695,24379,22047,201128
...Região de Saúde de Alagoinhas,19619,20462,20682,19274,18251,16496,14254,129038
......Acajutiba,329,608,501,493,421,263,212,2827
......Alagoinhas,4372,3809,4905,5222,4315,5656,5693,33972
......Aporá,693,621,515,197,301,265,262,2854
......Araçás,731,671,674,53,25,30,32,2216
......Aramari,524,538,396,475,440,421,300,3094
......Cardeal da Silva,531,505,431,475,327,222,243,2734
......Catu,2021,2497,1901,2438,1920,2050,1834,14661
......Crisópolis,406,565,730,411,478,419,426,3435
......Entre Rios,1715,1801,1873,1182,1747,1470,875,10663
......Esplanada,1295,1498,1581,1175,1137,1104,819,8609
......Inhambupe,1619,1825,2320,2508,2299,1563,100,12234
......Itanagra,139,168,161,167,83,141,149,1008
......Itapicuru,974,1277,1170,1079,1115,742,819,7176
......Jandaíra,464,379,498,466,405,302,215,2729
......Ouriçangas,665,443,533,487,467,427,230,3252
......Pedrão,310,334,188,94,214,178,220,1538
......Rio Real,2242,2199,1964,1949,2093,1005,1688,13140
......Sátiro Dias,589,724,341,403,464,238,137,2896
...Região de Saúde de Ribeira do Pombal,12864,12722,11143,11241,8444,7883,7793,72090
......Adustina,701,641,592,389,547,573,322,3765
......Antas,419,197,309,53,8,55,165,1206
......Banzaê,416,431,407,549,268,296,415,2782
......Cícero Dantas,1511,1381,1322,962,137,52,71,5436
......Cipó,584,655,538,844,444,313,298,3676
......Coronel João Sá,431,462,156,244,119,189,42,1643
......Fátima,1227,1175,957,984,1050,898,1006,7297
......Heliópolis,492,368,216,513,384,261,296,2530
......Nova Soure,1037,1080,597,575,625,428,361,4703
......Novo Triunfo,425,605,268,412,204,402,187,2503
......Olindina,942,923,1026,1111,828,971,867,6668
......Paripiranga,1007,1130,1102,786,773,624,592,6014
......Ribeira do Amparo,642,671,545,643,510,576,426,4013
......Ribeira do Pombal,2415,2499,2522,2735,2423,2211,2699,17504
......Sítio do Quinto,615,504,586,441,124,34,46,2350
NRS Norte,42808,46356,40993,33984,29207,27704,29257,250309
...Região de Saúde de Juazeiro,19482,18481,19532,13246,13668,11500,11428,107337
......Campo Alegre de Lourdes,1280,1437,1944,961,1480,1371,885,9358
......Canudos,386,383,504,346,465,132,181,2397
......Casa Nova,2661,2231,2775,1037,2438,2211,2042,15395
......Curaçá,1734,1429,1338,97,17,37,805,5457
......Juazeiro,8702,8047,8728,8085,6189,4660,4858,49269
......Pilão Arcado,224,839,1035,952,1531,711,960,6252
......Remanso,1430,1498,1503,1646,1500,1109,542,9228
......Sento Sé,1230,823,502,6,10,1103,476,4150
......Sobradinho,1060,758,565,89,11,8,329,2820
......Uauá,775,1036,638,27,27,158,350,3011
...Região de Saúde de Paulo Afonso,9297,12069,9850,10113,7807,7301,11148,67585
.......Abaré,727,364,426,554,581,443,1341,4436
.......Chorrochó,420,231,294,362,290,235,215,2047
.......Glória,504,204,372,4,492,365,787,2728
.......Jeremoabo,1524,1979,2561,1585,667,444,1375,10135
.......Macururé,76,30,44,52,136,75,83,496
.......Paulo Afonso,5105,8495,5377,6759,5102,5341,6492,42671
.......Pedro Alexandre,189,163,86,27,74,93,104,736
.......Rodelas,290,177,227,195,170,83,248,1390
.......Santa Brígida,462,426,463,575,295,222,503,2946
...Região de Saúde de Senhor do Bonfim,14029,15806,11611,10625,7732,8903,6681,75387
......Andorinha,549,507,589,689,307,754,672,4067
......Antônio Gonçalves,502,425,545,384,346,495,555,3252
......Campo Formoso,2334,3815,2487,2491,1800,3351,2359,18637
......Filadélfia,1218,1527,1136,891,560,706,626,6664
......Itiúba,1395,1856,1534,1329,405,485,95,7099
......Jaguarari,1739,1889,1575,1493,1337,711,58,8802
......Pindobaçu,1586,1339,861,1226,1015,513,55,6595
......Ponto Novo,1038,937,312,431,423,741,613,4495
......Senhor do Bonfim,3668,3511,2572,1691,1539,1147,1648,15776
NRS Oeste,42918,41871,40967,33337,31187,31066,31143,252489
...Região de Saúde de Barreiras,21869,20061,19456,14499,12104,10974,10278,109241
......Angical,852,656,966,292,41,581,565,3953
......Baianópolis,544,532,357,552,478,484,373,3320
......Barreiras,8361,9353,9190,6934,6912,5812,6336,52898
......Brejolândia,733,807,66,335,314,336,303,2894
......Catolândia,284,196,212,1,11,169,160,1033
......Cotegipe,681,558,533,133,231,496,461,3093
......Cristópolis,625,540,533,242,435,454,249,3078
......Formosa do Rio Preto,679,274,546,82,299,416,267,2563
......Luís Eduardo Magalhães,3194,2730,2312,3091,1464,923,624,14338
......Mansidão,741,88,446,441,201,115,16,2048
......Riachão das Neves,1159,977,704,53,25,74,34,3026
......Santa Rita de Cássia,1598,1105,1048,1145,1069,275,28,6268
......São Desidério,1568,1438,1636,402,14,16,359,5433
......Tabocas do Brejo Velho,366,296,384,531,288,495,371,2731
......Wanderley,484,511,523,265,322,328,132,2565
...Região de Saúde de Ibotirama,9367,10030,10356,7455,7072,8581,8239,61100
......Barra,2578,2736,2842,1520,1787,1845,2042,15350
......Brotas de Macaúbas,214,371,781,531,493,526,534,3450
......Buritirama,898,989,1237,730,135,603,507,5099
......Ibotirama,1563,1436,1577,675,831,1393,1312,8787
......Ipupiara,664,536,671,787,652,682,743,4735
......Morpará,387,439,339,9,110,421,222,1927
......Muquém de São Francisco,371,346,399,65,452,385,280,2298
......Oliveira dos Brejinhos,1150,1392,858,1447,1015,1076,950,7888
