Unnamed: 0,Unnamed: 1,Nº,%,Unnamed: 4,Nº.1,%.1,Unnamed: 7,Nº.2,%.2,Unnamed: 10,Nº.3,%.3,Unnamed: 13,Nº.4,%.4,Unnamed: 16,Nº.5,%.5,Unnamed: 19,Nº.6,%.6
29,Bahia,66941.0,86.9860699620562,,68184.0,86.7006599443053,,70464.0,87.3354651595151,,71665.0,87.5340474649143,,73129.0,86.9465449184382,,74575.0,85.6573476373159,,70630.0,83.132260684314
2901,Centro-Leste,9426.0,83.7048219518693,,9605.0,82.2275490112148,,9808.0,81.7333333333333,,9886.0,80.2630510676301,,9844.0,77.8058804932027,,10297.0,75.8079952882279,,9449.0,76.0054697554698
29011,Região de Feira de Santana,5569.0,89.1896220371557,,5600.0,87.5958079149069,,5633.0,86.7149014778325,,5519.0,84.1952707856598,,5490.0,81.3212857354466,,5752.0,78.1734166893177,,5317.0,77.7225551819909
290110,Amélia Rodrigues,157.0,95.7317073170732,,160.0,95.2380952380952,,148.0,98.0132450331126,,127.0,88.1944444444444,,138.0,90.7894736842105,,148.0,87.0588235294118,,96.0,83.4782608695652
290150,Anguera,50.0,90.9090909090909,,57.0,96.6101694915254,,46.0,80.7017543859649,,62.0,92.5373134328358,,62.0,89.8550724637681,,52.0,88.135593220339,,44.0,78.5714285714286
290170,Antônio Cardoso,62.0,81.5789473684211,,55.0,77.4647887323944,,55.0,78.5714285714286,,55.0,79.7101449275362,,48.0,82.7586206896552,,60.0,84.5070422535211,,46.0,73.015873015873
290260,Baixa Grande,82.0,78.0952380952381,,59.0,59.5959595959596,,86.0,71.6666666666667,,90.0,76.271186440678,,74.0,60.655737704918,,93.0,70.4545454545455,,91.0,66.9117647058823
290640,Candeal,47.0,73.4375,,31.0,62.0,,29.0,64.4444444444444,,41.0,66.1290322580645,,33.0,66.0,,28.0,51.8518518518518,,25.0,58.1395348837209
290685,Capela do Alto Alegre,57.0,91.9354838709677,,54.0,90.0,,55.0,84.6153846153846,,40.0,75.4716981132076,,46.0,83.6363636363636,,42.0,70.0,,48.0,77.4193548387097
290850,Conceição do Jacuípe,159.0,81.9587628865979,,125.0,98.4251968503937,,167.0,92.2651933701657,,139.0,86.875,,165.0,79.3269230769231,,184.0,84.7926267281106,,184.0,85.981308411215
290890,Coração de Maria,102.0,70.3448275862069,,100.0,64.9350649350649,,77.0,57.037037037037,,78.0,55.3191489361702,,79.0,62.6984126984127,,110.0,83.3333333333333,,121.0,87.6811594202899
291080,Feira de Santana,3040.0,95.3276889306993,,3091.0,95.0199815554872,,3081.0,93.2223903177005,,3013.0,89.0629618681644,,3046.0,84.8231690336954,,3000.0,79.3021411578113,,2896.0,78.7384448069603
291125,Gavião,16.0,94.1176470588235,,11.0,64.7058823529412,,20.0,66.6666666666667,,16.0,53.3333333333333,,15.0,53.5714285714286,,17.0,85.0,,10.0,66.6666666666667
291330,Ichu,31.0,100.0,,30.0,81.0810810810811,,26.0,61.9047619047619,,33.0,86.8421052631579,,25.0,86.2068965517241,,23.0,57.5,,23.0,82.1428571428571
291380,Ipecaetá,65.0,84.4155844155844,,63.0,75.9036144578313,,48.0,64.8648648648649,,65.0,73.8636363636364,,64.0,78.0487804878049,,63.0,77.7777777777778,,62.0,75.609756097561
291400,Ipirá,212.0,74.1258741258741,,230.0,58.2278481012658,,283.0,71.2846347607053,,255.0,67.1052631578947,,218.0,58.1333333333333,,242.0,52.4945770065076,,217.0,59.9447513812155
291450,Irará,106.0,64.6341463414634,,121.0,67.9775280898876,,111.0,65.6804733727811,,137.0,83.5365853658537,,134.0,78.8235294117647,,142.0,68.9320388349515,,133.0,67.1717171717172
292210,Mundo Novo,118.0,84.2857142857143,,88.0,61.9718309859155,,104.0,83.8709677419355,,68.0,55.2845528455285,,84.0,59.1549295774648,,85.0,62.962962962963,,88.0,60.6896551724138
292273,Nova Fátima,36.0,80.0,,36.0,94.7368421052632,,44.0,91.6666666666667,,34.0,97.1428571428571,,37.0,86.046511627907,,49.0,90.7407407407407,,32.0,78.0487804878049
292405,Pé de Serra,37.0,67.2727272727273,,41.0,69.4915254237288,,46.0,66.6666666666667,,63.0,81.8181818181818,,49.0,72.0588235294118,,58.0,69.8795180722892,,45.0,83.3333333333333
292465,Pintadas,56.0,91.8032786885246,,50.0,87.719298245614,,52.0,75.3623188405797,,44.0,78.5714285714286,,49.0,80.327868852459,,52.0,78.7878787878788,,37.0,75.5102040816327
292595,Rafael Jambeiro,97.0,83.6206896551724,,113.0,83.7037037037037,,100.0,81.3008130081301,,98.0,79.0322580645161,,94.0,78.9915966386555,,123.0,80.3921568627451,,119.0,83.2167832167832
292630,Riachão do Jacuípe,168.0,80.3827751196172,,170.0,88.0829015544041,,172.0,80.0,,194.0,81.5126050420168,,171.0,86.3636363636364,,203.0,83.8842975206611,,161.0,82.5641025641026
292750,Santa Bárbara,114.0,91.9354838709677,,137.0,94.4827586206897,,118.0,88.7218045112782,,132.0,92.3076923076923,,125.0,88.6524822695035,,151.0,93.2098765432099,,127.0,93.3823529411765
292830,Santanópolis,37.0,50.6849315068493,,56.0,90.3225806451613,,43.0,82.6923076923077,,48.0,87.2727272727273,,42.0,85.7142857142857,,46.0,80.7017543859649,,38.0,66.6666666666667
292880,Santo Estêvão,289.0,92.332268370607,,300.0,92.0245398773006,,273.0,89.2156862745098,,261.0,86.7109634551495,,291.0,89.8148148148148,,300.0,84.985835694051,,307.0,87.4643874643875
292930,São Gonçalo dos Campos,184.0,95.8333333333333,,171.0,90.9574468085106,,184.0,89.7560975609756,,149.0,82.7777777777778,,162.0,81.0,,162.0,80.5970149253731,,150.0,79.3650793650794
293040,Serra Preta,84.0,83.1683168316832,,95.0,81.8965517241379,,104.0,76.4705882352941,,97.0,79.5081967213115,,97.0,82.2033898305085,,117.0,86.0294117647059,,84.0,66.6666666666667
293110,Tanquinho,46.0,82.1428571428571,,39.0,69.6428571428571,,60.0,85.7142857142857,,49.0,85.9649122807018,,31.0,67.3913043478261,,48.0,75.0,,36.0,72.0
293140,Teodoro Sampaio,45.0,84.9056603773585,,41.0,93.1818181818182,,43.0,97.7272727272727,,54.0,83.0769230769231,,41.0,87.2340425531915,,66.0,91.6666666666667,,43.0,87.7551020408163
293170,Terra Nova,72.0,93.5064935064935,,76.0,93.8271604938272,,58.0,95.0819672131148,,77.0,93.9024390243902,,70.0,87.5,,88.0,93.6170212765958,,54.0,81.8181818181818
29012,Região de Itaberaba,1085.0,79.7794117647059,,1071.0,76.7741935483871,,1170.0,80.5785123966942,,1182.0,80.9034907597536,,1173.0,79.9046321525885,,1234.0,80.3908794788274,,1061.0,80.1965230536659
290130,Andaraí,49.0,96.078431372549,,52.0,83.8709677419355,,67.0,89.3333333333333,,51.0,76.1194029850746,,40.0,72.7272727272727,,55.0,75.3424657534247,,48.0,80.0
290380,Boa Vista do Tupim,83.0,96.5116279069768,,63.0,94.0298507462687,,76.0,87.3563218390805,,68.0,80.9523809523809,,76.0,75.2475247524752,,70.0,72.9166666666667,,58.0,82.8571428571429
290405,Bonito,39.0,79.5918367346939,,48.0,67.6056338028169,,53.0,82.8125,,58.0,82.8571428571429,,63.0,79.746835443038,,38.0,62.2950819672131,,38.0,95.0
291190,Iaçu,127.0,95.4887218045113,,132.0,87.4172185430464,,119.0,86.231884057971,,103.0,77.4436090225564,,150.0,85.7142857142857,,175.0,89.7435897435898,,100.0,89.2857142857143
291260,Ibiquera,20.0,90.9090909090909,,21.0,100.0,,19.0,90.4761904761905,,13.0,59.0909090909091,,14.0,60.8695652173913,,13.0,72.2222222222222,,16.0,84.2105263157895
291470,Itaberaba,309.0,75.5501222493887,,262.0,66.6666666666667,,319.0,73.1651376146789,,387.0,90.2097902097902,,367.0,94.8320413436692,,386.0,91.2529550827423,,392.0,90.7407407407407
291500,Itaeté,63.0,77.7777777777778,,51.0,75.0,,52.0,89.6551724137931,,49.0,89.0909090909091,,48.0,71.6417910447761,,49.0,77.7777777777778,,53.0,77.9411764705882
291900,Lajedinho,10.0,62.5,,18.0,81.8181818181818,,14.0,82.3529411764706,,33.0,94.2857142857143,,14.0,70.0,,14.0,70.0,,15.0,75.0
291960,Macajuba,57.0,91.9354838709677,,69.0,89.6103896103896,,53.0,85.4838709677419,,55.0,72.3684210526316,,52.0,65.0,,48.0,70.5882352941177,,48.0,66.6666666666667
292080,Marcionílio Souza,37.0,62.7118644067797,,28.0,65.1162790697674,,46.0,86.7924528301887,,31.0,73.8095238095238,,44.0,83.0188679245283,,48.0,90.5660377358491,,34.0,89.4736842105263
292285,Nova Redenção,27.0,72.972972972973,,34.0,85.0,,22.0,57.8947368421053,,30.0,55.5555555555556,,32.0,74.4186046511628,,34.0,77.2727272727273,,25.0,80.6451612903226
292720,Ruy Barbosa,131.0,63.9024390243902,,153.0,66.8122270742358,,196.0,77.4703557312253,,177.0,77.6315789473684,,165.0,75.0,,194.0,73.7642585551331,,153.0,65.6652360515021
293280,Utinga,99.0,95.1923076923077,,99.0,96.1165048543689,,98.0,92.4528301886792,,81.0,77.1428571428572,,66.0,62.2641509433962,,79.0,69.9115044247788,,54.0,60.6741573033708
293340,Wagner,34.0,73.9130434782609,,41.0,85.4166666666667,,36.0,81.8181818181818,,46.0,75.4098360655738,,42.0,71.1864406779661,,31.0,68.8888888888889,,27.0,69.2307692307692
29013,Região de Seabra,721.0,82.6834862385321,,760.0,82.7886710239652,,659.0,78.8277511961722,,712.0,77.8993435448578,,798.0,71.6337522441652,,771.0,70.9944751381215,,824.0,74.5701357466063
290010,Abaíra,54.0,91.5254237288136,,58.0,80.5555555555556,,57.0,90.4761904761905,,48.0,80.0,,57.0,80.2816901408451,,46.0,92.0,,57.0,96.6101694915254
290400,Boninal,66.0,95.6521739130435,,76.0,93.8271604938272,,57.0,76.0,,40.0,51.9480519480519,,44.0,53.0120481927711,,40.0,45.9770114942529,,38.0,55.8823529411765
291300,Ibitiara,55.0,56.701030927835,,72.0,74.2268041237113,,39.0,47.5609756097561,,76.0,69.7247706422018,,87.0,82.0754716981132,,59.0,59.0,,54.0,57.4468085106383
291440,Iraquara,128.0,92.0863309352518,,107.0,81.0606060606061,,74.0,69.1588785046729,,123.0,93.1818181818182,,126.0,96.9230769230769,,147.0,98.6577181208054,,144.0,97.2972972972973
291930,Lençóis,44.0,84.6153846153846,,45.0,90.0,,45.0,90.0,,48.0,85.7142857142857,,40.0,93.0232558139535,,51.0,96.2264150943396,,43.0,91.4893617021277
292190,Mucugê,54.0,98.1818181818182,,42.0,97.6744186046512,,50.0,98.0392156862745,,47.0,95.9183673469388,,61.0,100.0,,52.0,96.2962962962963,,49.0,96.078431372549
292303,Novo Horizonte,31.0,51.6666666666667,,31.0,55.3571428571429,,31.0,50.8196721311475,,33.0,54.0983606557377,,43.0,71.6666666666667,,51.0,83.6065573770492,,60.0,80.0
292350,Palmeiras,26.0,81.25,,29.0,70.7317073170732,,29.0,85.2941176470588,,31.0,67.3913043478261,,34.0,75.5555555555556,,28.0,47.4576271186441,,25.0,69.4444444444444
292430,Piatã,76.0,81.7204301075269,,77.0,81.0526315789474,,78.0,79.5918367346939,,69.0,77.5280898876404,,80.0,55.1724137931034,,82.0,55.7823129251701,,92.0,63.013698630137
292990,Seabra,121.0,96.8,,165.0,95.3757225433526,,139.0,93.9189189189189,,125.0,79.1139240506329,,144.0,53.5315985130111,,142.0,59.4142259414226,,167.0,61.3970588235294
293080,Souto Soares,66.0,72.5274725274725,,58.0,74.3589743589744,,60.0,89.5522388059701,,72.0,93.5064935064935,,82.0,81.1881188118812,,73.0,83.9080459770115,,95.0,87.1559633027523
29014,Região de Serrinha,2051.0,73.6445242369838,,2174.0,73.0756302521008,,2346.0,72.9477611940299,,2473.0,73.0144670800118,,2383.0,71.798734558602,,2540.0,70.4772475027747,,2247.0,71.0401517546633
290040,Água Fria,43.0,69.3548387096774,,58.0,75.3246753246753,,57.0,61.2903225806452,,52.0,72.2222222222222,,57.0,50.8928571428571,,44.0,55.0,,37.0,67.2727272727273
290210,Araci,152.0,69.7247706422018,,141.0,71.5736040609137,,221.0,81.25,,204.0,79.0697674418605,,183.0,71.2062256809339,,197.0,70.6093189964158,,166.0,65.0980392156863
290327,Barrocas,60.0,98.3606557377049,,45.0,88.2352941176471,,55.0,88.7096774193548,,45.0,80.3571428571429,,44.0,72.1311475409836,,72.0,92.3076923076923,,32.0,78.0487804878049
